contract_id,award_id,tender_id,vendor_id,original_value,final_value,sign_date,duration_days
C-0028,A-0028,T-0028,V-0172,6926451.15,6926451.15,2025-05-27,240
C-0029,A-0029,T-0029,V-0223,5358296.53,5645672.51,2026-09-11,120
C-0030,A-0030,T-0030,V-S010,10847484.95,10847484.95,2026-04-04,180
C-0031,A-0031,T-0031,V-0237,12537879.37,14504167.53,2025-02-12,240
C-0032,A-0032,T-0032,V-0056,2445466.94,2849903.34,2022-12-21,120
C-0033,A-0033,T-0033,V-0056,1694551.5,1828075.54,2025-10-29,90
C-0034,A-0034,T-0034,V-0056,3026180.43,3026180.43,2025-02-19,90
C-0035,A-0035,T-0035,V-0032,6671664.62,6671664.62,2023-11-15,365
C-0036,A-0036,T-0036,V-0056,2618990.42,2618990.42,2024-08-23,180
C-0037,A-0037,T-0037,V-0071,1523581.31,1523581.31,2024-02-08,240
C-0038,A-0038,T-0038,V-0231,3317521.48,3317521.48,2024-01-10,365
C-0039,A-0039,T-0039,V-0033,9532777.22,9532777.22,2024-12-13,120
C-0040,A-0040,T-0040,V-0056,3142461.65,3142461.65,2024-08-19,240
C-0041,A-0041,T-0041,V-0081,6594692.85,7492595.11,2023-04-30,180
C-0042,A-0042,T-0042,V-0056,2707176.87,3062196.95,2023-04-17,180
C-0043,A-0043,T-0043,V-0056,3244252.23,3244252.23,2023-04-27,120
C-0044,A-0044,T-0044,V-0033,8138456.92,8791331.89,2026-06-22,365
C-0045,A-0045,T-0045,V-0056,3054984.82,3054984.82,2024-10-25,240
C-0046,A-0046,T-0046,V-0056,2815534.03,2815534.03,2025-10-30,90
C-0047,A-0047,T-0047,V-0056,1431123.44,1431123.44,2025-08-22,90
C-0048,A-0048,T-0048,V-0056,2082499.85,2082499.85,2023-04-04,120
C-0049,A-0049,T-0049,V-0071,13150462.19,13150462.19,2025-12-06,120
C-0050,A-0050,T-0050,V-0056,3270838.54,3270838.54,2023-04-09,90
C-0051,A-0051,T-0051,V-0056,2976568.57,2976568.57,2025-06-23,365
C-0052,A-0052,T-0052,V-0032,14252826.98,14252826.98,2025-09-18,240
C-0053,A-0053,T-0053,V-0033,7898651.81,7898651.81,2023-12-25,90
C-0054,A-0054,T-0054,V-0056,1844397.46,1844397.46,2026-09-11,120
C-0055,A-0055,T-0055,V-0071,3657171.48,3657171.48,2023-07-12,240
C-0056,A-0056,T-0056,V-0056,1659927.9,1659927.9,2024-07-03,180
C-0057,A-0057,T-0057,V-0056,2955739.26,3325259.0,2024-10-26,240
C-0058,A-0058,T-0058,V-0157,36479312.51,36479312.51,2026-08-06,180
C-0059,A-0059,T-0059,V-0146,5731249.11,5731249.11,2025-06-10,180
C-0060,A-0060,T-0060,V-0117,4343959.1,4343959.1,2024-07-26,120
C-0061,A-0061,T-0061,V-0190,26042349.54,26042349.54,2022-12-14,365
C-0062,A-0062,T-0062,V-0117,5113973.56,5113973.56,2026-08-03,180
C-0063,A-0063,T-0063,V-S005,11850644.24,11850644.24,2026-06-20,240
C-0064,A-0064,T-0064,V-0094,29791650.45,29791650.45,2025-12-09,120
C-0065,A-0065,T-0065,V-0157,17429221.76,17429221.76,2024-01-17,120
C-0066,A-0066,T-0066,V-S005,9433146.07,11038823.68,2023-11-10,90
C-0067,A-0067,T-0067,V-0037,16609153.43,16609153.43,2023-01-23,120
C-0068,A-0068,T-0068,V-0117,3403469.32,3403469.32,2024-01-19,180
C-0069,A-0069,T-0069,V-S005,11781657.9,11781657.9,2026-03-19,120
C-0070,A-0070,T-0070,V-S005,9613305.51,9613305.51,2026-09-02,180
C-0071,A-0071,T-0071,V-SPV01,4671397.3,5397128.78,2024-04-13,180
C-0072,A-0072,T-0072,V-0037,6444516.87,6859673.8,2025-10-15,240
C-0073,A-0073,T-0073,V-S005,11423861.32,11423861.32,2024-09-02,120
C-0074,A-0074,T-0074,V-0072,3241913.03,3241913.03,2025-01-26,120
C-0075,A-0075,T-0075,V-0076,36651597.02,36651597.02,2026-07-12,365
C-0076,A-0076,T-0076,V-0051,1867928.8,1867928.8,2025-11-21,365
C-0077,A-0077,T-0077,V-0076,61090448.81,61090448.81,2024-04-22,90
C-0078,A-0078,T-0078,V-0126,4362162.45,4362162.45,2025-03-04,180
C-0079,A-0079,T-0079,V-S010,3901609.03,3901609.03,2025-09-04,120
C-0080,A-0080,T-0080,V-0086,606048.55,606048.55,2024-07-31,180
C-0081,A-0081,T-0081,V-0086,4179031.97,4810696.26,2023-03-17,180
C-0082,A-0082,T-0082,V-0086,928364.82,928364.82,2023-11-03,180
C-0083,A-0083,T-0083,V-0086,4102733.74,4102733.74,2025-02-10,240
C-0084,A-0084,T-0084,V-0126,9712030.02,9712030.02,2022-11-01,240
C-0085,A-0085,T-0085,V-0168,9537648.64,9537648.64,2026-07-09,90
C-0086,A-0086,T-0086,V-0086,2341031.9,2341031.9,2023-09-15,365
C-0087,A-0087,T-0087,V-0128,11578068.18,11578068.18,2026-03-22,90
C-0088,A-0088,T-0088,V-0086,4388520.33,4388520.33,2024-12-30,180
C-0089,A-0089,T-0089,V-0086,5214010.32,5878224.19,2023-10-07,240
C-0090,A-0090,T-0090,V-0205,18584839.92,18584839.92,2023-06-23,120
C-0091,A-0091,T-0091,V-Y008,7473663.03,7473663.03,2023-12-02,180
C-0092,A-0092,T-0092,V-0231,4351055.15,4351055.15,2023-04-08,120
C-0093,A-0093,T-0093,V-0002,7573520.92,7573520.92,2024-01-18,180
C-0094,A-0094,T-0094,V-0197,5376287.23,5376287.23,2025-06-10,90
C-0095,A-0095,T-0095,V-0071,7623514.93,7623514.93,2023-05-07,240
C-0096,A-0096,T-0096,V-0151,3336267.41,3336267.41,2025-04-09,240
C-0097,A-0097,T-0097,V-0231,1320276.75,1320276.75,2023-12-18,240
C-0098,A-0098,T-0098,V-0018,5012661.85,5012661.85,2023-05-21,365
C-0099,A-0099,T-0099,V-0206,9357977.45,9357977.45,2024-04-09,120
C-0100,A-0100,T-0100,V-0056,988629.57,988629.57,2025-03-12,365
C-0101,A-0101,T-0101,V-0187,4764473.33,5285350.85,2024-10-22,365
C-0102,A-0102,T-0102,V-0002,9165608.59,9165608.59,2023-06-24,90
C-0103,A-0103,T-0103,V-0231,2916062.74,2916062.74,2026-08-24,90
C-0104,A-0104,T-0104,V-0187,2070184.3,2070184.3,2025-03-21,120
C-0105,A-0105,T-0105,V-0187,11228980.34,13048279.45,2023-04-06,365
C-0106,A-0106,T-0106,V-0151,7286247.0,7286247.0,2023-06-01,120
C-0107,A-0107,T-0107,V-0096,6359679.82,6359679.82,2023-11-23,365
C-0108,A-0108,T-0108,V-0056,978135.88,978135.88,2022-10-08,90
C-0109,A-0109,T-0109,V-0238,1661894.92,1661894.92,2025-08-03,240
C-0110,A-0110,T-0110,V-0238,3913014.79,3913014.79,2025-02-20,90
C-0111,A-0111,T-0111,V-0061,13075836.26,13075836.26,2024-02-06,90
C-0112,A-0112,T-0112,V-0182,15596036.79,17163533.0,2024-03-19,90
C-0113,A-0113,T-0113,V-0238,1305435.49,1305435.49,2024-07-23,180
C-0114,A-0114,T-0114,V-0069,837169.0,837169.0,2026-08-17,180
C-0115,A-0115,T-0115,V-0238,1881320.7,1881320.7,2023-11-15,180
C-0116,A-0116,T-0116,V-0118,15725090.18,15725090.18,2026-05-11,240
C-0117,A-0117,T-0117,V-0181,1109700.95,1109700.95,2026-04-04,365
C-0118,A-0118,T-0118,V-0178,18478582.47,18478582.47,2026-04-16,180
C-0119,A-0119,T-0119,V-0169,3443046.49,3808443.8,2023-10-26,240
C-0120,A-0120,T-0120,V-0118,8969779.31,8969779.31,2024-07-14,240
C-0121,A-0121,T-0121,V-0182,13138162.76,15336469.59,2023-11-13,120
C-0122,A-0122,T-0122,V-0069,3885780.1,3885780.1,2023-07-21,90
C-0123,A-0123,T-0123,V-0069,4179521.03,4179521.03,2023-06-08,90
C-0124,A-0124,T-0124,V-0238,3205775.1,3205775.1,2026-03-16,120
C-0125,A-0125,T-0125,V-0069,638149.38,638149.38,2025-07-12,180
C-0126,A-0126,T-0126,V-0112,2642481.55,2642481.55,2025-01-11,120
C-0127,A-0127,T-0127,V-0169,399227.73,399227.73,2025-09-29,120
C-0128,A-0128,T-0128,V-0061,5110877.74,5110877.74,2024-11-19,180
C-0129,A-0129,T-0129,V-0026,7735104.52,8666085.92,2022-10-09,365
C-0130,A-0130,T-0130,V-0029,7773870.41,7773870.41,2025-08-11,120
C-0131,A-0131,T-0131,V-Y003,4012245.52,4338624.35,2024-11-05,120
C-0132,A-0132,T-0132,V-0156,6493075.42,6493075.42,2025-09-27,90
C-0133,A-0133,T-0133,V-0237,8695578.54,9224586.77,2025-11-03,240
C-0134,A-0134,T-0134,V-Y003,3010983.44,3010983.44,2024-02-14,120
C-0135,A-0135,T-0135,V-S005,1088038.08,1188113.36,2024-12-19,240
C-0136,A-0136,T-0136,V-0237,3964303.33,3964303.33,2025-08-03,120
C-0137,A-0137,T-0137,V-0206,14490611.71,16871605.13,2026-05-01,120
C-0138,A-0138,T-0138,V-S006,3728985.01,3728985.01,2023-03-29,180
C-0139,A-0139,T-0139,V-S010,7285162.35,8303240.1,2025-01-20,365
C-0140,A-0140,T-0140,V-0237,13401915.94,13401915.94,2025-04-17,120
C-0141,A-0141,T-0141,V-0098,4411017.28,4411017.28,2025-07-20,180
C-0142,A-0142,T-0142,V-0003,664611.1,664611.1,2026-02-15,120
C-0143,A-0143,T-0143,V-Y007,12129691.01,12129691.01,2023-11-21,365
C-0144,A-0144,T-0144,V-0206,8950556.94,8950556.94,2023-07-15,180
C-0145,A-0145,T-0145,V-0098,1602443.78,1602443.78,2024-07-15,240
C-0146,A-0146,T-0146,V-0172,2902691.2,2902691.2,2025-07-26,180
C-0147,A-0147,T-0147,V-Y003,2204439.69,2204439.69,2026-01-19,120
C-0148,A-0148,T-0148,V-0182,4208080.66,4573090.17,2025-04-10,240
C-0149,A-0149,T-0149,V-0093,10889889.92,10889889.92,2024-01-27,180
C-0150,A-0150,T-0150,V-0118,12942607.34,12942607.34,2026-04-18,180
C-0151,A-0151,T-0151,V-0155,2916389.87,2916389.87,2025-01-30,90
C-0152,A-0152,T-0152,V-0214,1066598.05,1066598.05,2024-03-24,120
C-0153,A-0153,T-0153,V-0214,1523007.59,1711245.3,2023-08-28,240
C-0154,A-0154,T-0154,V-Y006,4149230.46,4149230.46,2024-08-25,365
C-0155,A-0155,T-0155,V-Y008,2842724.24,2842724.24,2024-02-28,240
C-0156,A-0156,T-0156,V-0214,4678838.45,4678838.45,2022-11-14,240
C-0157,A-0157,T-0157,V-0155,2310962.81,2310962.81,2023-07-01,120
C-0158,A-0158,T-0158,V-0153,5561065.18,5561065.18,2023-12-09,365
C-0159,A-0159,T-0159,V-0093,10746653.29,10746653.29,2025-10-25,365
C-0160,A-0160,T-0160,V-0118,3698555.19,3698555.19,2023-02-07,365
C-0161,A-0161,T-0161,V-0155,4669319.71,4669319.71,2023-06-28,90
C-0162,A-0162,T-0162,V-Y008,9704746.99,9704746.99,2024-06-10,120
C-0163,A-0163,T-0163,V-Y006,9843497.25,9843497.25,2023-12-25,120
C-0164,A-0164,T-0164,V-Y005,4163751.25,4163751.25,2022-10-28,90
C-0165,A-0165,T-0165,V-0049,1279952.33,1279952.33,2024-06-09,180
C-0166,A-0166,T-0166,V-0155,4333488.43,4333488.43,2025-11-26,120
C-0167,A-0167,T-0167,V-0209,12671413.51,12671413.51,2024-03-30,90
C-0168,A-0168,T-0168,V-0049,4655830.53,4655830.53,2023-01-31,180
C-0169,A-0169,T-0169,V-0049,1693204.46,1693204.46,2024-09-27,120
C-0170,A-0170,T-0170,V-Y006,10872493.28,10872493.28,2025-10-31,90
C-0171,A-0171,T-0171,V-S001,3374614.9,3374614.9,2026-08-20,120
C-0172,A-0172,T-0172,V-0214,5661395.33,5661395.33,2026-04-14,240
C-0173,A-0173,T-0173,V-0049,6402563.02,6936522.84,2026-02-01,240
C-0174,A-0174,T-0174,V-0209,10806875.32,10806875.32,2024-09-24,240
C-0175,A-0175,T-0175,V-S001,5660533.02,5660533.02,2025-08-20,365
C-0176,A-0176,T-0176,V-0182,10013562.36,10013562.36,2026-06-23,240
C-0177,A-0177,T-0177,V-0093,8557661.03,8557661.03,2026-08-02,120
C-0178,A-0178,T-0178,V-0131,7554357.44,7554357.44,2025-06-07,365
C-0179,A-0179,T-0179,V-0049,4033707.09,4033707.09,2024-10-11,120
C-0180,A-0180,T-0180,V-0106,4023508.56,4023508.56,2022-12-13,240
C-0181,A-0181,T-0181,V-0106,1153421.0,1300484.22,2025-02-26,180
C-0182,A-0182,T-0182,V-0218,10452496.85,11948342.14,2023-01-06,120
C-0183,A-0183,T-0183,V-0155,4749952.93,4749952.93,2026-04-14,240
C-0184,A-0184,T-0184,V-0214,5610188.43,5933782.2,2026-05-19,180
C-0185,A-0185,T-0185,V-0093,9654689.83,10759523.5,2023-09-21,90
C-0186,A-0186,T-0186,V-Y008,2162832.4,2162832.4,2024-02-15,240
C-0187,A-0187,T-0187,V-0131,8064154.1,8064154.1,2023-08-02,180
C-0188,A-0188,T-0188,V-0218,6812984.26,6812984.26,2024-06-02,365
C-0189,A-0189,T-0189,V-0106,4727119.28,4727119.28,2025-07-28,240
C-0190,A-0190,T-0190,V-0155,9342283.3,9342283.3,2023-03-05,240
C-0191,A-0191,T-0191,V-Y005,8051273.51,8051273.51,2025-12-01,180
C-0192,A-0192,T-0192,V-0155,7340743.92,7340743.92,2025-01-23,90
C-0193,A-0193,T-0193,V-0013,5134512.46,5134512.46,2024-05-06,120
C-0194,A-0194,T-0194,V-0218,6891643.26,6891643.26,2023-05-03,90
C-0195,A-0195,T-0195,V-0123,2731843.76,3159481.54,2023-06-29,365
C-0196,A-0196,T-0196,V-0118,9385132.07,9385132.07,2025-01-03,365
C-0197,A-0197,T-0197,V-0118,8605687.73,8605687.73,2026-01-03,240
C-0198,A-0198,T-0198,V-0153,1949369.93,1949369.93,2023-11-01,180
C-0199,A-0199,T-0199,V-Y008,2522641.06,2522641.06,2023-12-02,120
C-0200,A-0200,T-0200,V-S001,3885067.03,3885067.03,2025-09-20,180
C-0201,A-0201,T-0201,V-0061,4917786.42,4917786.42,2024-05-19,180
C-0202,A-0202,T-0202,V-0191,30096475.54,33558886.67,2023-12-22,365
C-0203,A-0203,T-0203,V-0143,5148598.06,5148598.06,2025-02-21,240
C-0204,A-0204,T-0204,V-0070,29649341.5,29649341.5,2025-12-15,180
C-0205,A-0205,T-0205,V-0191,22538969.38,22538969.38,2025-10-30,240
C-0206,A-0206,T-0206,V-0021,9091402.29,9091402.29,2026-01-04,240
C-0207,A-0207,T-0207,V-0050,8193884.54,8193884.54,2025-10-07,90
C-0208,A-0208,T-0208,V-0018,2165310.47,2165310.47,2025-02-14,90
C-0209,A-0209,T-0209,V-0191,13170868.7,13170868.7,2025-10-12,90
C-0210,A-0210,T-0210,V-0149,7968435.72,8835842.33,2022-12-29,180
C-0211,A-0211,T-0211,V-0191,11520018.35,11520018.35,2024-11-27,365
C-0212,A-0212,T-0212,V-0084,20201755.11,20201755.11,2026-06-01,90
C-0213,A-0213,T-0213,V-0191,48305731.92,48305731.92,2023-09-07,180
C-0214,A-0214,T-0214,V-0087,19381456.54,21746553.14,2023-12-20,180
C-0215,A-0215,T-0215,V-0191,14349188.23,14349188.23,2026-02-22,180
C-0216,A-0216,T-0216,V-0042,26511485.6,26511485.6,2025-03-04,240
C-0217,A-0217,T-0217,V-0038,3451202.85,3451202.85,2023-06-04,180
C-0218,A-0218,T-0218,V-0065,13924225.31,13924225.31,2025-03-07,120
C-0219,A-0219,T-0219,V-0210,12280745.3,13547808.78,2024-06-06,365
C-0220,A-0220,T-0220,V-0042,10501137.49,10501137.49,2025-06-28,90
C-0221,A-0221,T-0221,V-0070,57547349.85,57547349.85,2026-04-06,365
C-0222,A-0222,T-0222,V-0200,23462187.73,23462187.73,2023-10-23,180
C-0223,A-0223,T-0223,V-0018,14968309.92,14968309.92,2026-05-21,180
C-0224,A-0224,T-0224,V-0156,3325365.36,3623310.24,2024-10-18,180
C-0225,A-0225,T-0225,V-0191,22611445.19,22611445.19,2022-11-28,365
C-0226,A-0226,T-0226,V-0156,4233901.58,4233901.58,2023-07-30,120
C-0227,A-0227,T-0227,V-0156,3344765.01,3344765.01,2024-08-06,240
C-0228,A-0228,T-0228,V-0050,18083445.79,18083445.79,2022-11-22,180
C-0229,A-0229,T-0229,V-0072,1697374.46,1697374.46,2025-08-14,240
C-0230,A-0230,T-0230,V-0152,2752162.46,2752162.46,2024-01-07,240
C-0231,A-0231,T-0231,V-0078,10512202.87,10512202.87,2026-02-07,120
C-0232,A-0232,T-0232,V-0152,2031352.88,2282169.27,2025-08-08,365
C-0233,A-0233,T-0233,V-0152,2799868.4,2799868.4,2026-01-19,365
C-0234,A-0234,T-0234,V-0168,2122110.59,2122110.59,2024-02-10,365
C-0235,A-0235,T-0235,V-0078,8798604.95,8798604.95,2023-06-17,365
C-0236,A-0236,T-0236,V-0229,1255300.8,1255300.8,2025-07-21,120
C-0237,A-0237,T-0237,V-0078,4694993.05,4694993.05,2023-06-18,120
C-0238,A-0238,T-0238,V-0113,1219269.09,1219269.09,2024-02-05,240
C-0239,A-0239,T-0239,V-0120,2999856.89,3459848.74,2025-01-27,180
C-0240,A-0240,T-0240,V-0168,3633808.72,3633808.72,2023-04-23,120
C-0241,A-0241,T-0241,V-0113,1337546.76,1414116.22,2023-09-29,240
C-0242,A-0242,T-0242,V-0120,2885488.51,2885488.51,2023-11-09,120
C-0243,A-0243,T-0243,V-0072,7109794.19,8265392.55,2026-07-15,180
C-0244,A-0244,T-0244,V-0168,11994063.94,11994063.94,2026-02-22,180
C-0245,A-0245,T-0245,V-0152,3687116.31,3687116.31,2024-04-12,240
C-0246,A-0246,T-0246,V-0168,4776900.29,4776900.29,2025-09-12,365
C-0247,A-0247,T-0247,V-0058,2840430.91,2840430.91,2025-07-03,240
C-0248,A-0248,T-0248,V-0168,2022229.15,2022229.15,2024-09-24,365
C-0249,A-0249,T-0249,V-0078,8785030.29,8785030.29,2025-03-18,120
C-0250,A-0250,T-0250,V-0168,712286.13,712286.13,2026-07-12,90
C-0251,A-0251,T-0251,V-0189,11037610.94,11037610.94,2023-07-02,90
C-0252,A-0252,T-0252,V-0228,9940279.11,9940279.11,2025-02-01,365
C-0253,A-0253,T-0253,V-0228,8788965.37,8788965.37,2026-09-18,240
C-0254,A-0254,T-0254,V-0188,4361716.05,4361716.05,2025-12-18,120
C-0255,A-0255,T-0255,V-0144,3958655.74,3958655.74,2024-01-20,240
C-0256,A-0256,T-0256,V-0211,2770885.54,2770885.54,2022-10-26,180
C-0257,A-0257,T-0257,V-0208,4626667.76,4626667.76,2022-10-30,365
C-0258,A-0258,T-0258,V-0210,4335293.95,4335293.95,2026-07-17,90
C-0259,A-0259,T-0259,V-0084,8280461.75,8280461.75,2023-12-13,90
C-0260,A-0260,T-0260,V-0188,11606889.44,11606889.44,2024-05-24,180
C-0261,A-0261,T-0261,V-0144,3661891.59,3661891.59,2025-09-24,90
C-0262,A-0262,T-0262,V-0219,6382279.31,6382279.31,2025-04-06,120
C-0263,A-0263,T-0263,V-0228,11462806.74,11462806.74,2025-05-31,90
C-0264,A-0264,T-0264,V-0156,2998491.53,2998491.53,2026-02-03,365
C-0265,A-0265,T-0265,V-0210,8044525.02,9208520.17,2026-01-14,90
C-0266,A-0266,T-0266,V-0228,1512962.38,1512962.38,2025-01-20,365
C-0267,A-0267,T-0267,V-0021,3044804.59,3044804.59,2026-07-03,180
C-0268,A-0268,T-0268,V-0170,1574825.7,1574825.7,2024-04-07,90
C-0269,A-0269,T-0269,V-0197,6930473.71,6930473.71,2025-12-22,120
C-0270,A-0270,T-0270,V-0211,2154167.95,2154167.95,2025-11-06,180
C-0271,A-0271,T-0271,V-0111,5357188.1,5357188.1,2026-06-20,180
C-0272,A-0272,T-0272,V-0021,11360141.72,11360141.72,2026-01-12,90
C-0273,A-0273,T-0273,V-0188,4058279.38,4516808.21,2025-02-16,120
C-0274,A-0274,T-0274,V-0211,3066581.78,3066581.78,2026-08-09,120
C-0275,A-0275,T-0275,V-0015,11389920.34,12296926.37,2023-11-01,180
C-0276,A-0276,T-0276,V-0211,2588396.48,2588396.48,2025-11-25,365
C-0277,A-0277,T-0277,V-0188,3255304.53,3255304.53,2025-03-16,180
C-0278,A-0278,T-0278,V-0238,3663009.45,3663009.45,2024-07-23,120
C-0279,A-0279,T-0279,V-0096,9861543.95,9861543.95,2024-11-08,365
C-0280,A-0280,T-0280,V-0218,5888095.63,6769177.82,2026-01-10,120
C-0281,A-0281,T-0281,V-0123,12143523.44,12143523.44,2025-01-04,90
C-0282,A-0282,T-0282,V-Y008,6795399.31,6795399.31,2022-12-24,120
C-0283,A-0283,T-0283,V-0209,8976891.22,8976891.22,2024-08-08,240
C-0284,A-0284,T-0284,V-0093,1286480.04,1286480.04,2023-08-22,90
C-0285,A-0285,T-0285,V-0093,2503590.0,2503590.0,2023-02-01,180
C-0286,A-0286,T-0286,V-Y006,4900701.17,4900701.17,2024-04-18,90
C-0287,A-0287,T-0287,V-0090,1830917.62,1830917.62,2025-02-06,120
C-0288,A-0288,T-0288,V-0096,8201567.27,8201567.27,2026-01-03,365
C-0289,A-0289,T-0289,V-0069,1828676.14,1828676.14,2026-09-13,180
C-0290,A-0290,T-0290,V-0131,9299011.47,9299011.47,2023-10-28,180
C-0291,A-0291,T-0291,V-0155,6372264.89,7512157.28,2025-08-21,90
C-0292,A-0292,T-0292,V-Y008,5655459.1,6460620.71,2026-01-18,180
C-0293,A-0293,T-0293,V-Y008,5398509.37,5398509.37,2026-07-07,120
C-0294,A-0294,T-0294,V-0155,11107942.71,11107942.71,2026-03-14,365
C-0295,A-0295,T-0295,V-0069,1455956.27,1455956.27,2025-04-07,90
C-0296,A-0296,T-0296,V-0169,582269.71,582269.71,2025-08-24,180
C-0297,A-0297,T-0297,V-0218,5808489.83,5808489.83,2024-02-21,90
C-0298,A-0298,T-0298,V-0061,3672362.54,4020360.48,2026-03-10,180
C-0299,A-0299,T-0299,V-Y006,5080535.21,5080535.21,2026-07-29,90
C-0300,A-0300,T-0300,V-S001,8315519.44,8315519.44,2026-03-12,240
C-0301,A-0301,T-0301,V-0061,1741691.34,1741691.34,2026-01-06,240
C-0302,A-0302,T-0302,V-0153,3550226.92,3550226.92,2023-03-29,240
C-0303,A-0303,T-0303,V-0155,12284674.68,12284674.68,2026-05-07,120
C-0304,A-0304,T-0304,V-0238,1096242.82,1258589.94,2024-10-30,180
C-0305,A-0305,T-0305,V-0093,4490741.71,4490741.71,2023-04-15,90
C-0306,A-0306,T-0306,V-0231,3653150.42,3874254.72,2024-07-23,365
C-0307,A-0307,T-0307,V-Y006,9562410.02,9562410.02,2023-10-02,240
C-0308,A-0308,T-0308,V-0200,10466737.28,10466737.28,2026-03-13,180
C-0309,A-0309,T-0309,V-0083,11063112.64,11063112.64,2026-03-24,180
C-0310,A-0310,T-0310,V-0104,55615602.7,55615602.7,2024-07-19,365
C-0311,A-0311,T-0311,V-S008,6949183.76,6949183.76,2025-08-28,180
C-0312,A-0312,T-0312,V-0056,2024194.66,2024194.66,2025-02-10,365
C-0313,A-0313,T-0313,V-0116,1629901.17,1761559.93,2026-05-15,90
C-0314,A-0314,T-0314,V-0043,9633715.92,9633715.92,2024-05-09,90
C-0315,A-0315,T-0315,V-0207,5575285.35,5575285.35,2024-02-16,240
C-0316,A-0316,T-0316,V-0018,13820379.0,13820379.0,2025-12-18,365
C-0317,A-0317,T-0317,V-S008,7950562.91,7950562.91,2025-12-25,240
C-0318,A-0318,T-0318,V-0005,4348465.95,4348465.95,2024-08-11,180
C-0319,A-0319,T-0319,V-0067,19543222.07,19543222.07,2025-09-21,90
C-0320,A-0320,T-0320,V-0104,2222279.61,2222279.61,2026-06-24,240
C-0321,A-0321,T-0321,V-0207,4800444.99,4800444.99,2026-06-14,365
C-0322,A-0322,T-0322,V-S008,5584351.69,5584351.69,2023-07-24,180
C-0323,A-0323,T-0323,V-0018,13752512.02,13752512.02,2025-04-16,180
C-0324,A-0324,T-0324,V-0067,25936396.76,25936396.76,2025-10-22,365
C-0325,A-0325,T-0325,V-0207,2513285.08,2513285.08,2023-02-22,120
C-0326,A-0326,T-0326,V-S008,7568752.65,7568752.65,2025-11-14,90
C-0327,A-0327,T-0327,V-0067,31048083.78,31048083.78,2026-02-17,180
C-0328,A-0328,T-0328,V-0207,6427903.0,6427903.0,2024-03-04,180
C-0329,A-0329,T-0329,V-0200,20564513.24,20564513.24,2026-09-04,365
C-0330,A-0330,T-0330,V-0135,10669558.47,10669558.47,2022-11-02,180
C-0331,A-0331,T-0331,V-0054,7894423.49,7894423.49,2026-03-29,180
C-0332,A-0332,T-0332,V-0068,6382648.78,6382648.78,2026-03-19,365
C-0333,A-0333,T-0333,V-S005,1773796.97,1773796.97,2023-02-28,180
C-0334,A-0334,T-0334,V-0138,46688082.18,53339809.16,2023-10-23,120
C-0335,A-0335,T-0335,V-0010,7680384.46,7680384.46,2024-11-04,365
C-0336,A-0336,T-0336,V-S005,3518712.62,3518712.62,2026-06-08,180
C-0337,A-0337,T-0337,V-0068,15917993.19,15917993.19,2023-04-02,180
C-0338,A-0338,T-0338,V-0125,11269492.9,11269492.9,2026-08-12,180
C-0339,A-0339,T-0339,V-0068,6219143.77,6219143.77,2025-04-15,120
