award_id,ocid,tender_id,vendor_id,value,award_date
A-0028,ocds-pgraph-T-0028,T-0028,V-0172,6926451.15,2025-04-18
A-0029,ocds-pgraph-T-0029,T-0029,V-0223,5358296.53,2026-08-18
A-0030,ocds-pgraph-T-0030,T-0030,V-S010,10847484.95,2026-03-25
A-0031,ocds-pgraph-T-0031,T-0031,V-0237,12537879.37,2025-01-14
A-0032,ocds-pgraph-T-0032,T-0032,V-0056,2445466.94,2022-11-28
A-0033,ocds-pgraph-T-0033,T-0033,V-0056,1694551.5,2025-10-22
A-0034,ocds-pgraph-T-0034,T-0034,V-0056,3026180.43,2025-01-22
A-0035,ocds-pgraph-T-0035,T-0035,V-0032,6671664.62,2023-10-21
A-0036,ocds-pgraph-T-0036,T-0036,V-0056,2618990.42,2024-07-27
A-0037,ocds-pgraph-T-0037,T-0037,V-0071,1523581.31,2023-12-31
A-0038,ocds-pgraph-T-0038,T-0038,V-0231,3317521.48,2023-12-18
A-0039,ocds-pgraph-T-0039,T-0039,V-0033,9532777.22,2024-11-28
A-0040,ocds-pgraph-T-0040,T-0040,V-0056,3142461.65,2024-08-01
A-0041,ocds-pgraph-T-0041,T-0041,V-0081,6594692.85,2023-04-20
A-0042,ocds-pgraph-T-0042,T-0042,V-0056,2707176.87,2023-04-08
A-0043,ocds-pgraph-T-0043,T-0043,V-0056,3244252.23,2023-04-03
A-0044,ocds-pgraph-T-0044,T-0044,V-0033,8138456.92,2026-05-17
A-0045,ocds-pgraph-T-0045,T-0045,V-0056,3054984.82,2024-09-29
A-0046,ocds-pgraph-T-0046,T-0046,V-0056,2815534.03,2025-09-29
A-0047,ocds-pgraph-T-0047,T-0047,V-0056,1431123.44,2025-07-26
A-0048,ocds-pgraph-T-0048,T-0048,V-0056,2082499.85,2023-03-22
A-0049,ocds-pgraph-T-0049,T-0049,V-0071,13150462.19,2025-11-01
A-0050,ocds-pgraph-T-0050,T-0050,V-0056,3270838.54,2023-04-04
A-0051,ocds-pgraph-T-0051,T-0051,V-0056,2976568.57,2025-06-17
A-0052,ocds-pgraph-T-0052,T-0052,V-0032,14252826.98,2025-08-26
A-0053,ocds-pgraph-T-0053,T-0053,V-0033,7898651.81,2023-11-29
A-0054,ocds-pgraph-T-0054,T-0054,V-0056,1844397.46,2026-08-21
A-0055,ocds-pgraph-T-0055,T-0055,V-0071,3657171.48,2023-06-06
A-0056,ocds-pgraph-T-0056,T-0056,V-0056,1659927.9,2024-05-27
A-0057,ocds-pgraph-T-0057,T-0057,V-0056,2955739.26,2024-10-02
A-0058,ocds-pgraph-T-0058,T-0058,V-0157,36479312.51,2026-07-28
A-0059,ocds-pgraph-T-0059,T-0059,V-0146,5731249.11,2025-05-30
A-0060,ocds-pgraph-T-0060,T-0060,V-0117,4343959.1,2024-07-03
A-0061,ocds-pgraph-T-0061,T-0061,V-0190,26042349.54,2022-11-28
A-0062,ocds-pgraph-T-0062,T-0062,V-0117,5113973.56,2026-07-16
A-0063,ocds-pgraph-T-0063,T-0063,V-S005,11850644.24,2026-05-16
A-0064,ocds-pgraph-T-0064,T-0064,V-0094,29791650.45,2025-11-25
A-0065,ocds-pgraph-T-0065,T-0065,V-0157,17429221.76,2024-01-02
A-0066,ocds-pgraph-T-0066,T-0066,V-S005,9433146.07,2023-10-04
A-0067,ocds-pgraph-T-0067,T-0067,V-0037,16609153.43,2023-01-12
A-0068,ocds-pgraph-T-0068,T-0068,V-0117,3403469.32,2024-01-10
A-0069,ocds-pgraph-T-0069,T-0069,V-S005,11781657.9,2026-03-03
A-0070,ocds-pgraph-T-0070,T-0070,V-S005,9613305.51,2026-07-29
A-0071,ocds-pgraph-T-0071,T-0071,V-SPV01,4671397.3,2024-03-15
A-0072,ocds-pgraph-T-0072,T-0072,V-0037,6444516.87,2025-09-12
A-0073,ocds-pgraph-T-0073,T-0073,V-S005,11423861.32,2024-08-24
A-0074,ocds-pgraph-T-0074,T-0074,V-0072,3241913.03,2024-12-30
A-0075,ocds-pgraph-T-0075,T-0075,V-0076,36651597.02,2026-06-04
A-0076,ocds-pgraph-T-0076,T-0076,V-0051,1867928.8,2025-10-31
A-0077,ocds-pgraph-T-0077,T-0077,V-0076,61090448.81,2024-03-20
A-0078,ocds-pgraph-T-0078,T-0078,V-0126,4362162.45,2025-02-09
A-0079,ocds-pgraph-T-0079,T-0079,V-S010,3901609.03,2025-08-19
A-0080,ocds-pgraph-T-0080,T-0080,V-0086,606048.55,2024-07-21
A-0081,ocds-pgraph-T-0081,T-0081,V-0086,4179031.97,2023-02-25
A-0082,ocds-pgraph-T-0082,T-0082,V-0086,928364.82,2023-10-10
A-0083,ocds-pgraph-T-0083,T-0083,V-0086,4102733.74,2025-02-03
A-0084,ocds-pgraph-T-0084,T-0084,V-0126,9712030.02,2022-10-19
A-0085,ocds-pgraph-T-0085,T-0085,V-0168,9537648.64,2026-05-30
A-0086,ocds-pgraph-T-0086,T-0086,V-0086,2341031.9,2023-09-02
A-0087,ocds-pgraph-T-0087,T-0087,V-0128,11578068.18,2026-02-24
A-0088,ocds-pgraph-T-0088,T-0088,V-0086,4388520.33,2024-11-25
A-0089,ocds-pgraph-T-0089,T-0089,V-0086,5214010.32,2023-09-25
A-0090,ocds-pgraph-T-0090,T-0090,V-0205,18584839.92,2023-05-23
A-0091,ocds-pgraph-T-0091,T-0091,V-Y008,7473663.03,2023-11-24
A-0092,ocds-pgraph-T-0092,T-0092,V-0231,4351055.15,2023-03-10
A-0093,ocds-pgraph-T-0093,T-0093,V-0002,7573520.92,2023-12-14
A-0094,ocds-pgraph-T-0094,T-0094,V-0197,5376287.23,2025-05-29
A-0095,ocds-pgraph-T-0095,T-0095,V-0071,7623514.93,2023-04-29
A-0096,ocds-pgraph-T-0096,T-0096,V-0151,3336267.41,2025-03-24
A-0097,ocds-pgraph-T-0097,T-0097,V-0231,1320276.75,2023-11-10
A-0098,ocds-pgraph-T-0098,T-0098,V-0018,5012661.85,2023-05-15
A-0099,ocds-pgraph-T-0099,T-0099,V-0206,9357977.45,2024-03-07
A-0100,ocds-pgraph-T-0100,T-0100,V-0056,988629.57,2025-03-03
A-0101,ocds-pgraph-T-0101,T-0101,V-0187,4764473.33,2024-10-10
A-0102,ocds-pgraph-T-0102,T-0102,V-0002,9165608.59,2023-05-24
A-0103,ocds-pgraph-T-0103,T-0103,V-0231,2916062.74,2026-07-30
A-0104,ocds-pgraph-T-0104,T-0104,V-0187,2070184.3,2025-02-22
A-0105,ocds-pgraph-T-0105,T-0105,V-0187,11228980.34,2023-03-17
A-0106,ocds-pgraph-T-0106,T-0106,V-0151,7286247.0,2023-05-03
A-0107,ocds-pgraph-T-0107,T-0107,V-0096,6359679.82,2023-11-02
A-0108,ocds-pgraph-T-0108,T-0108,V-0056,978135.88,2022-09-26
A-0109,ocds-pgraph-T-0109,T-0109,V-0238,1661894.92,2025-07-17
A-0110,ocds-pgraph-T-0110,T-0110,V-0238,3913014.79,2025-01-23
A-0111,ocds-pgraph-T-0111,T-0111,V-0061,13075836.26,2024-01-29
A-0112,ocds-pgraph-T-0112,T-0112,V-0182,15596036.79,2024-02-16
A-0113,ocds-pgraph-T-0113,T-0113,V-0238,1305435.49,2024-06-14
A-0114,ocds-pgraph-T-0114,T-0114,V-0069,837169.0,2026-07-26
A-0115,ocds-pgraph-T-0115,T-0115,V-0238,1881320.7,2023-10-08
A-0116,ocds-pgraph-T-0116,T-0116,V-0118,15725090.18,2026-04-23
A-0117,ocds-pgraph-T-0117,T-0117,V-0181,1109700.95,2026-02-27
A-0118,ocds-pgraph-T-0118,T-0118,V-0178,18478582.47,2026-03-13
A-0119,ocds-pgraph-T-0119,T-0119,V-0169,3443046.49,2023-09-22
A-0120,ocds-pgraph-T-0120,T-0120,V-0118,8969779.31,2024-06-12
A-0121,ocds-pgraph-T-0121,T-0121,V-0182,13138162.76,2023-11-04
A-0122,ocds-pgraph-T-0122,T-0122,V-0069,3885780.1,2023-06-22
A-0123,ocds-pgraph-T-0123,T-0123,V-0069,4179521.03,2023-05-16
A-0124,ocds-pgraph-T-0124,T-0124,V-0238,3205775.1,2026-02-11
A-0125,ocds-pgraph-T-0125,T-0125,V-0069,638149.38,2025-06-08
A-0126,ocds-pgraph-T-0126,T-0126,V-0112,2642481.55,2025-01-04
A-0127,ocds-pgraph-T-0127,T-0127,V-0169,399227.73,2025-09-09
A-0128,ocds-pgraph-T-0128,T-0128,V-0061,5110877.74,2024-10-13
A-0129,ocds-pgraph-T-0129,T-0129,V-0026,7735104.52,2022-10-01
A-0130,ocds-pgraph-T-0130,T-0130,V-0029,7773870.41,2025-07-06
A-0131,ocds-pgraph-T-0131,T-0131,V-Y003,4012245.52,2024-10-31
A-0132,ocds-pgraph-T-0132,T-0132,V-0156,6493075.42,2025-09-13
A-0133,ocds-pgraph-T-0133,T-0133,V-0237,8695578.54,2025-09-30
A-0134,ocds-pgraph-T-0134,T-0134,V-Y003,3010983.44,2024-01-22
A-0135,ocds-pgraph-T-0135,T-0135,V-S005,1088038.08,2024-11-27
A-0136,ocds-pgraph-T-0136,T-0136,V-0237,3964303.33,2025-07-20
A-0137,ocds-pgraph-T-0137,T-0137,V-0206,14490611.71,2026-04-14
A-0138,ocds-pgraph-T-0138,T-0138,V-S006,3728985.01,2023-03-10
A-0139,ocds-pgraph-T-0139,T-0139,V-S010,7285162.35,2024-12-23
A-0140,ocds-pgraph-T-0140,T-0140,V-0237,13401915.94,2025-03-16
A-0141,ocds-pgraph-T-0141,T-0141,V-0098,4411017.28,2025-07-10
A-0142,ocds-pgraph-T-0142,T-0142,V-0003,664611.1,2026-01-23
A-0143,ocds-pgraph-T-0143,T-0143,V-Y007,12129691.01,2023-10-26
A-0144,ocds-pgraph-T-0144,T-0144,V-0206,8950556.94,2023-07-05
A-0145,ocds-pgraph-T-0145,T-0145,V-0098,1602443.78,2024-06-17
A-0146,ocds-pgraph-T-0146,T-0146,V-0172,2902691.2,2025-06-26
A-0147,ocds-pgraph-T-0147,T-0147,V-Y003,2204439.69,2026-01-10
A-0148,ocds-pgraph-T-0148,T-0148,V-0182,4208080.66,2025-03-04
A-0149,ocds-pgraph-T-0149,T-0149,V-0093,10889889.92,2023-12-18
A-0150,ocds-pgraph-T-0150,T-0150,V-0118,12942607.34,2026-04-08
A-0151,ocds-pgraph-T-0151,T-0151,V-0155,2916389.87,2025-01-23
A-0152,ocds-pgraph-T-0152,T-0152,V-0214,1066598.05,2024-03-13
A-0153,ocds-pgraph-T-0153,T-0153,V-0214,1523007.59,2023-08-17
A-0154,ocds-pgraph-T-0154,T-0154,V-Y006,4149230.46,2024-08-13
A-0155,ocds-pgraph-T-0155,T-0155,V-Y008,2842724.24,2024-02-06
A-0156,ocds-pgraph-T-0156,T-0156,V-0214,4678838.45,2022-10-11
A-0157,ocds-pgraph-T-0157,T-0157,V-0155,2310962.81,2023-05-24
A-0158,ocds-pgraph-T-0158,T-0158,V-0153,5561065.18,2023-12-03
A-0159,ocds-pgraph-T-0159,T-0159,V-0093,10746653.29,2025-09-17
A-0160,ocds-pgraph-T-0160,T-0160,V-0118,3698555.19,2023-01-08
A-0161,ocds-pgraph-T-0161,T-0161,V-0155,4669319.71,2023-06-17
A-0162,ocds-pgraph-T-0162,T-0162,V-Y008,9704746.99,2024-05-12
A-0163,ocds-pgraph-T-0163,T-0163,V-Y006,9843497.25,2023-12-15
A-0164,ocds-pgraph-T-0164,T-0164,V-Y005,4163751.25,2022-10-09
A-0165,ocds-pgraph-T-0165,T-0165,V-0049,1279952.33,2024-05-09
A-0166,ocds-pgraph-T-0166,T-0166,V-0155,4333488.43,2025-11-02
A-0167,ocds-pgraph-T-0167,T-0167,V-0209,12671413.51,2024-03-13
A-0168,ocds-pgraph-T-0168,T-0168,V-0049,4655830.53,2023-01-02
A-0169,ocds-pgraph-T-0169,T-0169,V-0049,1693204.46,2024-08-25
A-0170,ocds-pgraph-T-0170,T-0170,V-Y006,10872493.28,2025-10-19
A-0171,ocds-pgraph-T-0171,T-0171,V-S001,3374614.9,2026-07-21
A-0172,ocds-pgraph-T-0172,T-0172,V-0214,5661395.33,2026-03-22
A-0173,ocds-pgraph-T-0173,T-0173,V-0049,6402563.02,2025-12-30
A-0174,ocds-pgraph-T-0174,T-0174,V-0209,10806875.32,2024-09-02
A-0175,ocds-pgraph-T-0175,T-0175,V-S001,5660533.02,2025-07-11
A-0176,ocds-pgraph-T-0176,T-0176,V-0182,10013562.36,2026-06-03
A-0177,ocds-pgraph-T-0177,T-0177,V-0093,8557661.03,2026-07-01
A-0178,ocds-pgraph-T-0178,T-0178,V-0131,7554357.44,2025-05-31
A-0179,ocds-pgraph-T-0179,T-0179,V-0049,4033707.09,2024-09-20
A-0180,ocds-pgraph-T-0180,T-0180,V-0106,4023508.56,2022-11-29
A-0181,ocds-pgraph-T-0181,T-0181,V-0106,1153421.0,2025-02-15
A-0182,ocds-pgraph-T-0182,T-0182,V-0218,10452496.85,2022-12-17
A-0183,ocds-pgraph-T-0183,T-0183,V-0155,4749952.93,2026-03-22
A-0184,ocds-pgraph-T-0184,T-0184,V-0214,5610188.43,2026-04-19
A-0185,ocds-pgraph-T-0185,T-0185,V-0093,9654689.83,2023-08-31
A-0186,ocds-pgraph-T-0186,T-0186,V-Y008,2162832.4,2024-01-15
A-0187,ocds-pgraph-T-0187,T-0187,V-0131,8064154.1,2023-06-24
A-0188,ocds-pgraph-T-0188,T-0188,V-0218,6812984.26,2024-05-08
A-0189,ocds-pgraph-T-0189,T-0189,V-0106,4727119.28,2025-06-22
A-0190,ocds-pgraph-T-0190,T-0190,V-0155,9342283.3,2023-01-29
A-0191,ocds-pgraph-T-0191,T-0191,V-Y005,8051273.51,2025-11-18
A-0192,ocds-pgraph-T-0192,T-0192,V-0155,7340743.92,2024-12-17
A-0193,ocds-pgraph-T-0193,T-0193,V-0013,5134512.46,2024-04-06
A-0194,ocds-pgraph-T-0194,T-0194,V-0218,6891643.26,2023-03-31
A-0195,ocds-pgraph-T-0195,T-0195,V-0123,2731843.76,2023-06-04
A-0196,ocds-pgraph-T-0196,T-0196,V-0118,9385132.07,2024-12-13
A-0197,ocds-pgraph-T-0197,T-0197,V-0118,8605687.73,2025-12-11
A-0198,ocds-pgraph-T-0198,T-0198,V-0153,1949369.93,2023-10-20
A-0199,ocds-pgraph-T-0199,T-0199,V-Y008,2522641.06,2023-11-09
A-0200,ocds-pgraph-T-0200,T-0200,V-S001,3885067.03,2025-09-03
A-0201,ocds-pgraph-T-0201,T-0201,V-0061,4917786.42,2024-04-11
A-0202,ocds-pgraph-T-0202,T-0202,V-0191,30096475.54,2023-11-30
A-0203,ocds-pgraph-T-0203,T-0203,V-0143,5148598.06,2025-01-12
A-0204,ocds-pgraph-T-0204,T-0204,V-0070,29649341.5,2025-12-06
A-0205,ocds-pgraph-T-0205,T-0205,V-0191,22538969.38,2025-10-09
A-0206,ocds-pgraph-T-0206,T-0206,V-0021,9091402.29,2025-12-20
A-0207,ocds-pgraph-T-0207,T-0207,V-0050,8193884.54,2025-09-25
A-0208,ocds-pgraph-T-0208,T-0208,V-0018,2165310.47,2025-02-05
A-0209,ocds-pgraph-T-0209,T-0209,V-0191,13170868.7,2025-09-03
A-0210,ocds-pgraph-T-0210,T-0210,V-0149,7968435.72,2022-12-16
A-0211,ocds-pgraph-T-0211,T-0211,V-0191,11520018.35,2024-11-19
A-0212,ocds-pgraph-T-0212,T-0212,V-0084,20201755.11,2026-04-26
A-0213,ocds-pgraph-T-0213,T-0213,V-0191,48305731.92,2023-08-23
A-0214,ocds-pgraph-T-0214,T-0214,V-0087,19381456.54,2023-11-15
A-0215,ocds-pgraph-T-0215,T-0215,V-0191,14349188.23,2026-01-21
A-0216,ocds-pgraph-T-0216,T-0216,V-0042,26511485.6,2025-02-19
A-0217,ocds-pgraph-T-0217,T-0217,V-0038,3451202.85,2023-05-01
A-0218,ocds-pgraph-T-0218,T-0218,V-0065,13924225.31,2025-02-02
A-0219,ocds-pgraph-T-0219,T-0219,V-0210,12280745.3,2024-05-09
A-0220,ocds-pgraph-T-0220,T-0220,V-0042,10501137.49,2025-05-24
A-0221,ocds-pgraph-T-0221,T-0221,V-0070,57547349.85,2026-03-24
A-0222,ocds-pgraph-T-0222,T-0222,V-0200,23462187.73,2023-09-13
A-0223,ocds-pgraph-T-0223,T-0223,V-0018,14968309.92,2026-04-30
A-0224,ocds-pgraph-T-0224,T-0224,V-0156,3325365.36,2024-09-17
A-0225,ocds-pgraph-T-0225,T-0225,V-0191,22611445.19,2022-11-02
A-0226,ocds-pgraph-T-0226,T-0226,V-0156,4233901.58,2023-07-20
A-0227,ocds-pgraph-T-0227,T-0227,V-0156,3344765.01,2024-06-28
A-0228,ocds-pgraph-T-0228,T-0228,V-0050,18083445.79,2022-11-01
A-0229,ocds-pgraph-T-0229,T-0229,V-0072,1697374.46,2025-08-04
A-0230,ocds-pgraph-T-0230,T-0230,V-0152,2752162.46,2023-12-19
A-0231,ocds-pgraph-T-0231,T-0231,V-0078,10512202.87,2026-02-01
A-0232,ocds-pgraph-T-0232,T-0232,V-0152,2031352.88,2025-07-07
A-0233,ocds-pgraph-T-0233,T-0233,V-0152,2799868.4,2026-01-10
A-0234,ocds-pgraph-T-0234,T-0234,V-0168,2122110.59,2024-01-31
A-0235,ocds-pgraph-T-0235,T-0235,V-0078,8798604.95,2023-05-11
A-0236,ocds-pgraph-T-0236,T-0236,V-0229,1255300.8,2025-06-24
A-0237,ocds-pgraph-T-0237,T-0237,V-0078,4694993.05,2023-05-09
A-0238,ocds-pgraph-T-0238,T-0238,V-0113,1219269.09,2024-01-27
A-0239,ocds-pgraph-T-0239,T-0239,V-0120,2999856.89,2025-01-13
A-0240,ocds-pgraph-T-0240,T-0240,V-0168,3633808.72,2023-03-24
A-0241,ocds-pgraph-T-0241,T-0241,V-0113,1337546.76,2023-09-15
A-0242,ocds-pgraph-T-0242,T-0242,V-0120,2885488.51,2023-10-05
A-0243,ocds-pgraph-T-0243,T-0243,V-0072,7109794.19,2026-06-22
A-0244,ocds-pgraph-T-0244,T-0244,V-0168,11994063.94,2026-01-16
A-0245,ocds-pgraph-T-0245,T-0245,V-0152,3687116.31,2024-03-30
A-0246,ocds-pgraph-T-0246,T-0246,V-0168,4776900.29,2025-08-08
A-0247,ocds-pgraph-T-0247,T-0247,V-0058,2840430.91,2025-05-24
A-0248,ocds-pgraph-T-0248,T-0248,V-0168,2022229.15,2024-08-19
A-0249,ocds-pgraph-T-0249,T-0249,V-0078,8785030.29,2025-03-06
A-0250,ocds-pgraph-T-0250,T-0250,V-0168,712286.13,2026-06-20
A-0251,ocds-pgraph-T-0251,T-0251,V-0189,11037610.94,2023-06-22
A-0252,ocds-pgraph-T-0252,T-0252,V-0228,9940279.11,2024-12-27
A-0253,ocds-pgraph-T-0253,T-0253,V-0228,8788965.37,2026-08-13
A-0254,ocds-pgraph-T-0254,T-0254,V-0188,4361716.05,2025-12-11
A-0255,ocds-pgraph-T-0255,T-0255,V-0144,3958655.74,2023-12-13
A-0256,ocds-pgraph-T-0256,T-0256,V-0211,2770885.54,2022-10-08
A-0257,ocds-pgraph-T-0257,T-0257,V-0208,4626667.76,2022-10-05
A-0258,ocds-pgraph-T-0258,T-0258,V-0210,4335293.95,2026-06-07
A-0259,ocds-pgraph-T-0259,T-0259,V-0084,8280461.75,2023-11-03
A-0260,ocds-pgraph-T-0260,T-0260,V-0188,11606889.44,2024-05-09
A-0261,ocds-pgraph-T-0261,T-0261,V-0144,3661891.59,2025-08-25
A-0262,ocds-pgraph-T-0262,T-0262,V-0219,6382279.31,2025-03-06
A-0263,ocds-pgraph-T-0263,T-0263,V-0228,11462806.74,2025-05-05
A-0264,ocds-pgraph-T-0264,T-0264,V-0156,2998491.53,2026-01-04
A-0265,ocds-pgraph-T-0265,T-0265,V-0210,8044525.02,2025-12-08
A-0266,ocds-pgraph-T-0266,T-0266,V-0228,1512962.38,2024-12-16
A-0267,ocds-pgraph-T-0267,T-0267,V-0021,3044804.59,2026-06-08
A-0268,ocds-pgraph-T-0268,T-0268,V-0170,1574825.7,2024-03-11
A-0269,ocds-pgraph-T-0269,T-0269,V-0197,6930473.71,2025-12-12
A-0270,ocds-pgraph-T-0270,T-0270,V-0211,2154167.95,2025-10-25
A-0271,ocds-pgraph-T-0271,T-0271,V-0111,5357188.1,2026-05-11
A-0272,ocds-pgraph-T-0272,T-0272,V-0021,11360141.72,2025-12-17
A-0273,ocds-pgraph-T-0273,T-0273,V-0188,4058279.38,2025-02-09
A-0274,ocds-pgraph-T-0274,T-0274,V-0211,3066581.78,2026-07-27
A-0275,ocds-pgraph-T-0275,T-0275,V-0015,11389920.34,2023-09-26
A-0276,ocds-pgraph-T-0276,T-0276,V-0211,2588396.48,2025-10-29
A-0277,ocds-pgraph-T-0277,T-0277,V-0188,3255304.53,2025-02-11
A-0278,ocds-pgraph-T-0278,T-0278,V-0238,3663009.45,2024-07-11
A-0279,ocds-pgraph-T-0279,T-0279,V-0096,9861543.95,2024-10-18
A-0280,ocds-pgraph-T-0280,T-0280,V-0218,5888095.63,2025-12-26
A-0281,ocds-pgraph-T-0281,T-0281,V-0123,12143523.44,2024-12-21
A-0282,ocds-pgraph-T-0282,T-0282,V-Y008,6795399.31,2022-11-17
A-0283,ocds-pgraph-T-0283,T-0283,V-0209,8976891.22,2024-07-13
A-0284,ocds-pgraph-T-0284,T-0284,V-0093,1286480.04,2023-08-12
A-0285,ocds-pgraph-T-0285,T-0285,V-0093,2503590.0,2023-01-27
A-0286,ocds-pgraph-T-0286,T-0286,V-Y006,4900701.17,2024-03-16
A-0287,ocds-pgraph-T-0287,T-0287,V-0090,1830917.62,2025-01-08
A-0288,ocds-pgraph-T-0288,T-0288,V-0096,8201567.27,2025-12-19
A-0289,ocds-pgraph-T-0289,T-0289,V-0069,1828676.14,2026-08-18
A-0290,ocds-pgraph-T-0290,T-0290,V-0131,9299011.47,2023-10-15
A-0291,ocds-pgraph-T-0291,T-0291,V-0155,6372264.89,2025-07-20
A-0292,ocds-pgraph-T-0292,T-0292,V-Y008,5655459.1,2026-01-05
A-0293,ocds-pgraph-T-0293,T-0293,V-Y008,5398509.37,2026-06-30
A-0294,ocds-pgraph-T-0294,T-0294,V-0155,11107942.71,2026-03-02
A-0295,ocds-pgraph-T-0295,T-0295,V-0069,1455956.27,2025-03-25
A-0296,ocds-pgraph-T-0296,T-0296,V-0169,582269.71,2025-08-03
A-0297,ocds-pgraph-T-0297,T-0297,V-0218,5808489.83,2024-01-31
A-0298,ocds-pgraph-T-0298,T-0298,V-0061,3672362.54,2026-03-05
A-0299,ocds-pgraph-T-0299,T-0299,V-Y006,5080535.21,2026-06-29
A-0300,ocds-pgraph-T-0300,T-0300,V-S001,8315519.44,2026-02-28
A-0301,ocds-pgraph-T-0301,T-0301,V-0061,1741691.34,2025-12-21
A-0302,ocds-pgraph-T-0302,T-0302,V-0153,3550226.92,2023-02-19
A-0303,ocds-pgraph-T-0303,T-0303,V-0155,12284674.68,2026-05-02
A-0304,ocds-pgraph-T-0304,T-0304,V-0238,1096242.82,2024-09-27
A-0305,ocds-pgraph-T-0305,T-0305,V-0093,4490741.71,2023-03-26
A-0306,ocds-pgraph-T-0306,T-0306,V-0231,3653150.42,2024-06-29
A-0307,ocds-pgraph-T-0307,T-0307,V-Y006,9562410.02,2023-08-27
A-0308,ocds-pgraph-T-0308,T-0308,V-0200,10466737.28,2026-02-05
A-0309,ocds-pgraph-T-0309,T-0309,V-0083,11063112.64,2026-02-12
A-0310,ocds-pgraph-T-0310,T-0310,V-0104,55615602.7,2024-06-26
A-0311,ocds-pgraph-T-0311,T-0311,V-S008,6949183.76,2025-07-20
A-0312,ocds-pgraph-T-0312,T-0312,V-0056,2024194.66,2025-01-18
A-0313,ocds-pgraph-T-0313,T-0313,V-0116,1629901.17,2026-05-03
A-0314,ocds-pgraph-T-0314,T-0314,V-0043,9633715.92,2024-05-02
A-0315,ocds-pgraph-T-0315,T-0315,V-0207,5575285.35,2024-01-29
A-0316,ocds-pgraph-T-0316,T-0316,V-0018,13820379.0,2025-11-30
A-0317,ocds-pgraph-T-0317,T-0317,V-S008,7950562.91,2025-12-20
A-0318,ocds-pgraph-T-0318,T-0318,V-0005,4348465.95,2024-07-30
A-0319,ocds-pgraph-T-0319,T-0319,V-0067,19543222.07,2025-08-27
A-0320,ocds-pgraph-T-0320,T-0320,V-0104,2222279.61,2026-06-03
A-0321,ocds-pgraph-T-0321,T-0321,V-0207,4800444.99,2026-05-28
A-0322,ocds-pgraph-T-0322,T-0322,V-S008,5584351.69,2023-06-14
A-0323,ocds-pgraph-T-0323,T-0323,V-0018,13752512.02,2025-03-14
A-0324,ocds-pgraph-T-0324,T-0324,V-0067,25936396.76,2025-09-23
A-0325,ocds-pgraph-T-0325,T-0325,V-0207,2513285.08,2023-01-31
A-0326,ocds-pgraph-T-0326,T-0326,V-S008,7568752.65,2025-10-17
A-0327,ocds-pgraph-T-0327,T-0327,V-0067,31048083.78,2026-02-09
A-0328,ocds-pgraph-T-0328,T-0328,V-0207,6427903.0,2024-02-18
A-0329,ocds-pgraph-T-0329,T-0329,V-0200,20564513.24,2026-08-12
A-0330,ocds-pgraph-T-0330,T-0330,V-0135,10669558.47,2022-10-14
A-0331,ocds-pgraph-T-0331,T-0331,V-0054,7894423.49,2026-03-09
