ocid,tender_id,lot,buyer_id,title,category_code,category_label,procurement_kind,procurement_method,publish_date,tender_period_days,estimate_value,quantity,unit,scope_metric_value,scope_metric_unit,n_bids_published,bids_published,status,award_id,awarded_vendor_id,awarded_value,award_date,emergency_declared,proprietary_certificate,framework_ref,reserved_for_mse,justification_note,scenario_truth
ocds-pgraph-T-0016,T-0016,1,B-020,Borewell drilling - Thrissur (Nov 2024),borewell_drilling,Borewell drilling,works,open,2024-11-05,21,,1856,metre,1856,metre,3,1,complete,A-0016,V-0026,3358137.06,2024-12-27,0,0,,0,,competitive
ocds-pgraph-T-0017,T-0017,1,B-020,Road resurfacing works - Thrissur (Dec 2024),road_resurfacing,Road resurfacing works,works,open,2024-12-20,14,6508374.88,30262,sq.m,30262,sq.m,3,1,complete,A-0017,V-0206,5955362.88,2025-02-17,0,0,,0,,competitive
ocds-pgraph-T-0018,T-0018,1,B-020,Road resurfacing works - Thrissur (Nov 2024),road_resurfacing,Road resurfacing works,works,open,2024-11-11,10,9684928.87,39993,sq.m,39993,sq.m,6,1,complete,A-0018,V-0237,8268308.06,2024-12-11,0,0,,0,,competitive
ocds-pgraph-T-0019,T-0019,1,B-020,Road resurfacing works - Thrissur (Feb 2026),road_resurfacing,Road resurfacing works,works,open,2026-02-25,30,,23694,sq.m,23694,sq.m,3,1,complete,A-0019,V-S010,5150804.12,2026-05-05,0,0,,0,,competitive
ocds-pgraph-T-0020,T-0020,1,B-020,Road resurfacing works - Thrissur (Oct 2022),road_resurfacing,Road resurfacing works,works,open,2022-10-22,7,2049837.2,10256,sq.m,10256,sq.m,3,1,complete,A-0020,V-0206,1774618.17,2022-12-04,0,0,,0,,competitive
ocds-pgraph-T-0021,T-0021,1,B-020,Solar street lighting - Thrissur (Nov 2023),solar_streetlight,Solar street lighting,goods,open,2023-11-16,14,7919641.2,499,unit,499,unit,2,1,complete,A-0021,V-0223,6498408.31,2023-12-30,0,0,,0,,competitive
ocds-pgraph-T-0022,T-0022,1,B-020,Road resurfacing works - Thrissur (Jun 2026),road_resurfacing,Road resurfacing works,works,open,2026-06-01,21,,21406,sq.m,21406,sq.m,1,1,complete,A-0022,V-0206,5438026.71,2026-07-25,0,0,,0,,competitive
ocds-pgraph-T-0023,T-0023,1,B-020,Solar street lighting - Thrissur (Nov 2024),solar_streetlight,Solar street lighting,goods,open,2024-11-06,21,10560909.3,661,unit,661,unit,5,1,complete,A-0023,V-0223,9120197.79,2024-12-15,0,0,,0,,competitive
ocds-pgraph-T-0024,T-0024,1,B-020,Road resurfacing works - Thrissur (May 2025),road_resurfacing,Road resurfacing works,works,open,2025-05-16,7,,17055,sq.m,17055,sq.m,3,1,complete,A-0024,V-S010,3498899.82,2025-06-11,0,0,,0,,competitive
ocds-pgraph-T-0025,T-0025,1,B-020,Road resurfacing works - Thrissur (Dec 2023),road_resurfacing,Road resurfacing works,works,open,2023-12-26,14,13635321.0,57441,sq.m,57441,sq.m,6,1,complete,A-0025,V-0206,11823932.33,2024-01-31,0,0,,0,,competitive
ocds-pgraph-T-0026,T-0026,1,B-020,Solar street lighting - Thrissur (Oct 2025),solar_streetlight,Solar street lighting,goods,open,2025-10-27,21,13786191.49,817,unit,817,unit,5,1,complete,A-0026,V-0026,12866145.92,2025-12-02,0,0,,0,,competitive
ocds-pgraph-T-0027,T-0027,1,B-020,Road resurfacing works - Thrissur (Mar 2025),road_resurfacing,Road resurfacing works,works,open,2025-03-16,30,4222887.21,17780,sq.m,17780,sq.m,6,1,complete,A-0027,V-0206,3939673.51,2025-05-22,0,0,,0,,competitive
ocds-pgraph-T-0028,T-0028,1,B-020,Solar street lighting - Thrissur (Mar 2025),solar_streetlight,Solar street lighting,goods,open,2025-03-15,14,6488573.75,402,unit,402,unit,1,1,complete,A-0028,V-0172,6926451.15,2025-05-07,0,0,,0,,single
ocds-pgraph-T-0029,T-0029,1,B-020,Solar street lighting - Thrissur (Jul 2026),solar_streetlight,Solar street lighting,goods,open,2026-07-15,14,5580038.4,342,unit,342,unit,6,1,complete,A-0029,V-0223,5358296.53,2026-08-23,0,0,,0,,competitive
ocds-pgraph-T-0030,T-0030,1,B-020,Road resurfacing works - Thrissur (Feb 2026),road_resurfacing,Road resurfacing works,works,open,2026-02-23,10,12439591.52,50865,sq.m,50865,sq.m,3,1,complete,A-0030,V-S010,10847484.95,2026-04-08,0,0,,0,,competitive
ocds-pgraph-T-0031,T-0031,1,B-020,Road resurfacing works - Thrissur (Dec 2024),road_resurfacing,Road resurfacing works,works,open,2024-12-11,14,,54366,sq.m,54366,sq.m,1,1,complete,A-0031,V-0237,12537879.37,2025-02-01,0,0,,0,,competitive
ocds-pgraph-T-0032,T-0032,1,B-036,Borewell drilling - Chennai (Oct 2022),borewell_drilling,Borewell drilling,works,open,2022-10-09,30,3181928.91,1901,metre,1901,metre,3,1,complete,A-0032,V-0056,2445466.94,2022-11-30,0,0,,0,,competitive
ocds-pgraph-T-0033,T-0033,1,B-036,Borewell drilling - Chennai (Sep 2025),borewell_drilling,Borewell drilling,works,open,2025-09-11,21,1899867.29,1073,metre,1073,metre,3,1,complete,A-0033,V-0056,1694551.5,2025-10-13,0,0,,0,,competitive
ocds-pgraph-T-0034,T-0034,1,B-036,Borewell drilling - Chennai (Dec 2024),borewell_drilling,Borewell drilling,works,open,2024-12-19,14,3614353.07,1962,metre,1962,metre,0,0,complete,A-0034,V-0056,3026180.43,2025-01-17,0,0,,0,,competitive
ocds-pgraph-T-0035,T-0035,1,B-036,Water supply pipeline works - Chennai (Sep 2023),water_pipeline,Water supply pipeline works,works,open,2023-09-10,21,,3223,metre,3223,metre,6,1,complete,A-0035,V-0032,6671664.62,2023-11-13,0,0,,0,,competitive
ocds-pgraph-T-0036,T-0036,1,B-036,Borewell drilling - Chennai (Jun 2024),borewell_drilling,Borewell drilling,works,open,2024-06-23,14,3350685.58,1681,metre,1681,metre,5,1,complete,A-0036,V-0056,2618990.42,2024-08-19,0,0,,0,,competitive
ocds-pgraph-T-0037,T-0037,1,B-036,Water supply pipeline works - Chennai (Nov 2023),water_pipeline,Water supply pipeline works,works,open,2023-11-27,14,1825002.9,720,metre,720,metre,4,1,complete,A-0037,V-0071,1523581.31,2024-01-08,0,0,,0,,competitive
ocds-pgraph-T-0038,T-0038,1,B-036,Borewell drilling - Chennai (Nov 2023),borewell_drilling,Borewell drilling,works,open,2023-11-18,10,3826387.76,2266,metre,2266,metre,5,1,complete,A-0038,V-0231,3317521.48,2023-12-29,0,0,,0,,competitive
ocds-pgraph-T-0039,T-0039,1,B-036,Water supply pipeline works - Chennai (Oct 2024),water_pipeline,Water supply pipeline works,works,open,2024-10-29,10,10292597.34,3751,metre,3751,metre,3,1,complete,A-0039,V-0033,9532777.22,2024-11-23,0,0,,0,,competitive
ocds-pgraph-T-0040,T-0040,1,B-036,Borewell drilling - Chennai (Jul 2024),borewell_drilling,Borewell drilling,works,open,2024-07-05,7,3669547.98,2169,metre,2169,metre,5,1,complete,A-0040,V-0056,3142461.65,2024-08-25,0,0,,0,,competitive
ocds-pgraph-T-0041,T-0041,1,B-036,Water supply pipeline works - Chennai (Mar 2023),water_pipeline,Water supply pipeline works,works,open,2023-03-10,21,,2580,metre,2580,metre,2,1,complete,A-0041,V-0081,6594692.85,2023-04-30,0,0,,0,,competitive
ocds-pgraph-T-0042,T-0042,1,B-036,Borewell drilling - Chennai (Mar 2023),borewell_drilling,Borewell drilling,works,open,2023-03-12,7,3053421.6,1972,metre,1972,metre,5,1,complete,A-0042,V-0056,2707176.87,2023-04-19,0,0,,0,,competitive
ocds-pgraph-T-0043,T-0043,1,B-036,Borewell drilling - Chennai (Feb 2023),borewell_drilling,Borewell drilling,works,open,2023-02-28,14,3799887.33,2258,metre,2258,metre,5,1,complete,A-0043,V-0056,3244252.23,2023-04-15,0,0,,0,,competitive
ocds-pgraph-T-0044,T-0044,1,B-036,Water supply pipeline works - Chennai (Apr 2026),water_pipeline,Water supply pipeline works,works,open,2026-04-20,7,9629828.43,3355,metre,3355,metre,4,1,complete,A-0044,V-0033,8138456.92,2026-05-17,0,0,,0,,competitive
ocds-pgraph-T-0045,T-0045,1,B-036,Borewell drilling - Chennai (Sep 2024),borewell_drilling,Borewell drilling,works,open,2024-09-02,7,3666317.16,2084,metre,2084,metre,3,1,complete,A-0045,V-0056,3054984.82,2024-10-19,0,0,,0,,competitive
ocds-pgraph-T-0046,T-0046,1,B-036,Borewell drilling - Chennai (Sep 2025),borewell_drilling,Borewell drilling,works,open,2025-09-02,7,,1674,metre,1674,metre,4,1,complete,A-0046,V-0056,2815534.03,2025-10-10,0,0,,0,,competitive
ocds-pgraph-T-0047,T-0047,1,B-036,Borewell drilling - Chennai (Jun 2025),borewell_drilling,Borewell drilling,works,open,2025-06-22,14,1538644.03,812,metre,812,metre,3,1,complete,A-0047,V-0056,1431123.44,2025-08-10,0,0,,0,,competitive
ocds-pgraph-T-0048,T-0048,1,B-036,Borewell drilling - Chennai (Feb 2023),borewell_drilling,Borewell drilling,works,open,2023-02-16,14,,1479,metre,1479,metre,4,1,complete,A-0048,V-0056,2082499.85,2023-03-15,0,0,,0,,competitive
ocds-pgraph-T-0049,T-0049,1,B-036,Water supply pipeline works - Chennai (Sep 2025),water_pipeline,Water supply pipeline works,works,open,2025-09-21,21,14569467.13,4998,metre,4998,metre,4,1,complete,A-0049,V-0071,13150462.19,2025-10-29,0,0,,0,,competitive
ocds-pgraph-T-0050,T-0050,1,B-036,Borewell drilling - Chennai (Mar 2023),borewell_drilling,Borewell drilling,works,open,2023-03-01,14,3781002.55,2286,metre,2286,metre,4,1,complete,A-0050,V-0056,3270838.54,2023-03-27,0,0,,0,,competitive
ocds-pgraph-T-0051,T-0051,1,B-036,Borewell drilling - Chennai (May 2025),borewell_drilling,Borewell drilling,works,open,2025-05-14,14,3386794.99,1849,metre,1849,metre,3,1,complete,A-0051,V-0056,2976568.57,2025-06-30,0,0,,0,,competitive
ocds-pgraph-T-0052,T-0052,1,B-036,Water supply pipeline works - Chennai (Jul 2025),water_pipeline,Water supply pipeline works,works,open,2025-07-27,10,15457072.57,5476,metre,5476,metre,4,1,complete,A-0052,V-0032,14252826.98,2025-08-31,0,0,,0,,competitive
ocds-pgraph-T-0053,T-0053,1,B-036,Water supply pipeline works - Chennai (Nov 2023),water_pipeline,Water supply pipeline works,works,open,2023-11-02,7,10062439.06,3730,metre,3730,metre,4,1,complete,A-0053,V-0033,7898651.81,2023-12-20,0,0,,0,,competitive
ocds-pgraph-T-0054,T-0054,1,B-036,Borewell drilling - Chennai (Jul 2026),borewell_drilling,Borewell drilling,works,open,2026-07-02,30,2109529.18,1085,metre,1085,metre,3,1,complete,A-0054,V-0056,1844397.46,2026-08-29,0,0,,0,,competitive
ocds-pgraph-T-0055,T-0055,1,B-036,Water supply pipeline works - Chennai (May 2023),water_pipeline,Water supply pipeline works,works,open,2023-05-03,14,4581007.55,1698,metre,1698,metre,7,1,complete,A-0055,V-0071,3657171.48,2023-06-30,0,0,,0,,competitive
ocds-pgraph-T-0056,T-0056,1,B-036,Borewell drilling - Chennai (Apr 2024),borewell_drilling,Borewell drilling,works,open,2024-04-23,14,2078085.15,1076,metre,1076,metre,5,1,complete,A-0056,V-0056,1659927.9,2024-06-11,0,0,,0,,competitive
ocds-pgraph-T-0057,T-0057,1,B-036,Borewell drilling - Chennai (Aug 2024),borewell_drilling,Borewell drilling,works,open,2024-08-13,30,3563558.27,2074,metre,2074,metre,5,1,complete,A-0057,V-0056,2955739.26,2024-10-26,0,0,,0,,competitive
ocds-pgraph-T-0058,T-0058,1,B-033,Ambulance procurement - Koraput (Jun 2026),ambulance_vehicle,Ambulance procurement,goods,open,2026-06-08,30,41438381.4,18,unit,18,unit,4,1,complete,A-0058,V-0157,36479312.51,2026-08-05,0,0,,0,,competitive
ocds-pgraph-T-0059,T-0059,1,B-033,Building construction works - Koraput (Apr 2025),building_construction,Building construction works,works,open,2025-04-26,14,6755816.32,3506,sq.m,3506,sq.m,7,1,complete,A-0059,V-0146,5731249.11,2025-06-07,0,0,,0,,competitive
ocds-pgraph-T-0060,T-0060,1,B-033,Building construction works - Koraput (May 2024),building_construction,Building construction works,works,open,2024-05-14,30,5568577.76,2787,sq.m,2787,sq.m,0,0,complete,A-0060,V-0117,4343959.1,2024-07-26,0,0,,0,,competitive
ocds-pgraph-T-0061,T-0061,1,B-033,Ambulance procurement - Koraput (Oct 2022),ambulance_vehicle,Ambulance procurement,goods,open,2022-10-25,14,28783746.09,15,unit,15,unit,3,1,complete,A-0061,V-0190,26042349.54,2022-11-24,0,0,,0,,competitive
ocds-pgraph-T-0062,T-0062,1,B-033,Building construction works - Koraput (Jun 2026),building_construction,Building construction works,works,open,2026-06-12,14,6088881.22,2940,sq.m,2940,sq.m,7,1,complete,A-0062,V-0117,5113973.56,2026-08-07,0,0,,0,,competitive
ocds-pgraph-T-0063,T-0063,1,B-033,Manned security services - Koraput (Apr 2026),security_services,Manned security services,services,open,2026-04-12,14,16021476.88,599,man-month,599,man-month,5,1,complete,A-0063,V-S005,11850644.24,2026-05-30,0,0,,0,,competitive
ocds-pgraph-T-0064,T-0064,1,B-033,Ambulance procurement - Koraput (Oct 2025),ambulance_vehicle,Ambulance procurement,goods,open,2025-10-15,21,36256067.61,16,unit,16,unit,2,1,complete,A-0064,V-0094,29791650.45,2025-12-20,0,0,,0,,competitive
ocds-pgraph-T-0065,T-0065,1,B-033,Ambulance procurement - Koraput (Nov 2023),ambulance_vehicle,Ambulance procurement,goods,open,2023-11-29,14,17841849.41,9,unit,9,unit,3,1,complete,A-0065,V-0157,17429221.76,2024-01-09,0,0,,0,,competitive
ocds-pgraph-T-0066,T-0066,1,B-033,Manned security services - Koraput (Aug 2023),security_services,Manned security services,services,open,2023-08-24,21,10857292.75,488,man-month,488,man-month,3,1,complete,A-0066,V-S005,9433146.07,2023-09-30,0,0,,0,,competitive
ocds-pgraph-T-0067,T-0067,1,B-033,Ambulance procurement - Koraput (Dec 2022),ambulance_vehicle,Ambulance procurement,goods,open,2022-12-02,21,18205759.39,9,unit,9,unit,5,1,complete,A-0067,V-0037,16609153.43,2023-01-04,0,0,,0,,competitive
ocds-pgraph-T-0068,T-0068,1,B-033,Building construction works - Koraput (Nov 2023),building_construction,Building construction works,works,open,2023-11-30,21,3979085.28,2312,sq.m,2312,sq.m,5,1,complete,A-0068,V-0117,3403469.32,2024-01-06,0,0,,0,,competitive
ocds-pgraph-T-0069,T-0069,1,B-033,Manned security services - Koraput (Feb 2026),security_services,Manned security services,services,open,2026-02-04,7,13683540.24,496,man-month,496,man-month,3,1,complete,A-0069,V-S005,11781657.9,2026-02-28,0,0,,0,,competitive
ocds-pgraph-T-0070,T-0070,1,B-033,Manned security services - Koraput (Jun 2026),security_services,Manned security services,services,open,2026-06-18,21,10535956.17,439,man-month,439,man-month,3,1,complete,A-0070,V-S005,9613305.51,2026-07-22,0,0,,0,,competitive
ocds-pgraph-T-0071,T-0071,1,B-033,Building construction works - Koraput (Jan 2024),building_construction,Building construction works,works,open,2024-01-25,30,4544128.73,2391,sq.m,2391,sq.m,1,1,complete,A-0071,V-SPV01,4671397.3,2024-03-26,0,0,,0,,single
ocds-pgraph-T-0072,T-0072,1,B-033,Ambulance procurement - Koraput (Aug 2025),ambulance_vehicle,Ambulance procurement,goods,open,2025-08-09,14,6866621.21,3,unit,3,unit,7,1,complete,A-0072,V-0037,6444516.87,2025-09-09,0,0,,0,,competitive
ocds-pgraph-T-0073,T-0073,1,B-033,Manned security services - Koraput (Jul 2024),security_services,Manned security services,services,open,2024-07-14,21,12330893.2,546,man-month,546,man-month,3,1,complete,A-0073,V-S005,11423861.32,2024-08-31,0,0,,0,,competitive
ocds-pgraph-T-0074,T-0074,1,B-033,Building construction works - Koraput (Nov 2024),building_construction,Building construction works,works,open,2024-11-26,14,,2029,sq.m,2029,sq.m,4,1,complete,A-0074,V-0072,3241913.03,2025-01-21,0,0,,0,,competitive
ocds-pgraph-T-0075,T-0075,1,B-016,Ambulance procurement - Kota (Apr 2026),ambulance_vehicle,Ambulance procurement,goods,open,2026-04-15,30,40351005.9,19,unit,19,unit,3,1,complete,A-0075,V-0076,36651597.02,2026-05-27,0,0,,0,,competitive
ocds-pgraph-T-0076,T-0076,1,B-016,Building construction works - Kota (Sep 2025),building_construction,Building construction works,works,open,2025-09-20,21,2307691.14,1213,sq.m,1213,sq.m,7,1,complete,A-0076,V-0051,1867928.8,2025-10-23,0,0,,0,,competitive
ocds-pgraph-T-0077,T-0077,1,B-016,Ambulance procurement - Kota (Jan 2024),ambulance_vehicle,Ambulance procurement,goods,open,2024-01-30,30,59410785.93,30,unit,30,unit,4,1,complete,A-0077,V-0076,61090448.81,2024-03-12,0,0,,0,,competitive
ocds-pgraph-T-0078,T-0078,1,B-016,Manned security services - Kota (Jan 2025),security_services,Manned security services,services,open,2025-01-10,10,5532621.12,222,man-month,222,man-month,4,1,complete,A-0078,V-0126,4362162.45,2025-03-01,0,0,,0,,competitive
ocds-pgraph-T-0079,T-0079,1,B-016,Manned security services - Kota (Jun 2025),security_services,Manned security services,services,open,2025-06-30,30,4331394.14,180,man-month,180,man-month,3,1,complete,A-0079,V-S010,3901609.03,2025-09-02,0,0,,0,,competitive
ocds-pgraph-T-0080,T-0080,1,B-016,Building construction works - Kota (Jun 2024),building_construction,Building construction works,works,open,2024-06-21,10,691575.41,406,sq.m,406,sq.m,3,1,complete,A-0080,V-0086,606048.55,2024-08-10,0,0,,0,,competitive
ocds-pgraph-T-0081,T-0081,1,B-016,Building construction works - Kota (Jan 2023),building_construction,Building construction works,works,open,2023-01-26,10,5226739.66,3136,sq.m,3136,sq.m,5,1,complete,A-0081,V-0086,4179031.97,2023-02-15,0,0,,0,,competitive
ocds-pgraph-T-0082,T-0082,1,B-016,Building construction works - Kota (Aug 2023),building_construction,Building construction works,works,open,2023-08-21,30,1162484.23,720,sq.m,720,sq.m,5,1,complete,A-0082,V-0086,928364.82,2023-10-02,0,0,,0,,competitive
ocds-pgraph-T-0083,T-0083,1,B-016,Building construction works - Kota (Dec 2024),building_construction,Building construction works,works,open,2024-12-15,30,5405387.11,2766,sq.m,2766,sq.m,4,1,complete,A-0083,V-0086,4102733.74,2025-01-28,0,0,,0,,competitive
ocds-pgraph-T-0084,T-0084,1,B-016,Manned security services - Kota (Sep 2022),security_services,Manned security services,services,open,2022-09-22,7,10713378.68,495,man-month,495,man-month,2,1,complete,A-0084,V-0126,9712030.02,2022-10-30,0,0,,0,,competitive
ocds-pgraph-T-0085,T-0085,1,B-016,Manned security services - Kota (Apr 2026),security_services,Manned security services,services,open,2026-04-19,21,11377437.24,426,man-month,426,man-month,7,1,complete,A-0085,V-0168,9537648.64,2026-05-25,0,0,,0,,competitive
ocds-pgraph-T-0086,T-0086,1,B-016,Building construction works - Kota (Jul 2023),building_construction,Building construction works,works,open,2023-07-23,21,2913050.78,1599,sq.m,1599,sq.m,4,1,complete,A-0086,V-0086,2341031.9,2023-09-12,0,0,,0,,competitive
ocds-pgraph-T-0087,T-0087,1,B-016,Manned security services - Kota (Jan 2026),security_services,Manned security services,services,open,2026-01-14,21,14401453.85,583,man-month,583,man-month,6,1,complete,A-0087,V-0128,11578068.18,2026-02-18,0,0,,0,,competitive
ocds-pgraph-T-0088,T-0088,1,B-016,Building construction works - Kota (Oct 2024),building_construction,Building construction works,works,open,2024-10-22,14,4641135.44,2466,sq.m,2466,sq.m,3,1,complete,A-0088,V-0086,4388520.33,2024-12-18,0,0,,0,,competitive
ocds-pgraph-T-0089,T-0089,1,B-016,Building construction works - Kota (Aug 2023),building_construction,Building construction works,works,open,2023-08-26,10,6133246.74,3447,sq.m,3447,sq.m,5,1,complete,A-0089,V-0086,5214010.32,2023-10-13,0,0,,0,,competitive
ocds-pgraph-T-0090,T-0090,1,B-016,Ambulance procurement - Kota (Apr 2023),ambulance_vehicle,Ambulance procurement,goods,open,2023-04-23,10,22163406.69,11,unit,11,unit,6,1,complete,A-0090,V-0205,18584839.92,2023-06-12,0,0,,0,,competitive
ocds-pgraph-T-0091,T-0091,1,B-037,Road resurfacing works - New Delhi (Oct 2023),road_resurfacing,Road resurfacing works,works,open,2023-10-29,6,,39935,sq.m,39935,sq.m,6,1,complete,A-0091,V-Y008,7473663.03,2023-12-18,0,0,,0,,competitive
ocds-pgraph-T-0092,T-0092,1,B-037,Borewell drilling - New Delhi (Feb 2023),borewell_drilling,Borewell drilling,works,open,2023-02-13,5,4213772.55,2371,metre,2371,metre,1,1,complete,A-0092,V-0231,4351055.15,2023-03-22,0,0,,0,,competitive
ocds-pgraph-T-0093,T-0093,1,B-037,Road resurfacing works - New Delhi (Oct 2023),road_resurfacing,Road resurfacing works,works,open,2023-10-25,30,7320455.8,36596,sq.m,36596,sq.m,1,1,complete,A-0093,V-0002,7573520.92,2023-12-31,0,0,,0,,single
ocds-pgraph-T-0094,T-0094,1,B-037,Road resurfacing works - New Delhi (Apr 2025),road_resurfacing,Road resurfacing works,works,open,2025-04-18,21,6779832.97,29832,sq.m,29832,sq.m,5,1,complete,A-0094,V-0197,5376287.23,2025-05-31,0,0,,0,,competitive
ocds-pgraph-T-0095,T-0095,1,B-037,Solar street lighting - New Delhi (Mar 2023),solar_streetlight,Solar street lighting,goods,limited,2023-03-19,21,7574491.94,517,unit,517,unit,1,1,complete,A-0095,V-0071,7623514.93,2023-05-10,0,0,,0,,single
ocds-pgraph-T-0096,T-0096,1,B-037,Solar street lighting - New Delhi (Feb 2025),solar_streetlight,Solar street lighting,goods,open,2025-02-27,5,,211,unit,211,unit,1,1,complete,A-0096,V-0151,3336267.41,2025-03-22,0,0,,0,,single
ocds-pgraph-T-0097,T-0097,1,B-037,Borewell drilling - New Delhi (Oct 2023),borewell_drilling,Borewell drilling,works,open,2023-10-15,6,1196807.57,680,metre,680,metre,1,1,complete,A-0097,V-0231,1320276.75,2023-11-21,0,0,,0,,single
ocds-pgraph-T-0098,T-0098,1,B-037,Solar street lighting - New Delhi (Apr 2023),solar_streetlight,Solar street lighting,goods,open,2023-04-11,14,,439,unit,439,unit,0,0,complete,A-0098,V-0018,5012661.85,2023-05-19,0,0,,0,,competitive
ocds-pgraph-T-0099,T-0099,1,B-037,Road resurfacing works - New Delhi (Feb 2024),road_resurfacing,Road resurfacing works,works,open,2024-02-02,14,10932109.23,52237,sq.m,52237,sq.m,2,1,complete,A-0099,V-0206,9357977.45,2024-03-12,0,0,,0,,competitive
ocds-pgraph-T-0100,T-0100,1,B-037,Borewell drilling - New Delhi (Jan 2025),borewell_drilling,Borewell drilling,works,open,2025-01-12,30,1214882.17,652,metre,652,metre,5,1,complete,A-0100,V-0056,988629.57,2025-03-09,0,0,,0,,competitive
ocds-pgraph-T-0101,T-0101,1,B-037,Solar street lighting - New Delhi (Sep 2024),solar_streetlight,Solar street lighting,goods,direct,2024-09-15,5,4724987.76,304,unit,304,unit,1,1,complete,A-0101,V-0187,4764473.33,2024-10-08,0,0,,0,,single
ocds-pgraph-T-0102,T-0102,1,B-037,Road resurfacing works - New Delhi (Apr 2023),road_resurfacing,Road resurfacing works,works,open,2023-04-27,7,9499424.03,46054,sq.m,46054,sq.m,2,1,complete,A-0102,V-0002,9165608.59,2023-06-12,0,0,,0,,competitive
