ocid,tender_id,vendor_id,bid_value,submitted_at,status,disqualification_reason,is_winner
ocds-pgraph-T-0007,T-0007,V-0046,22098604.21,2026-05-04T17:18:00,valid,,1
ocds-pgraph-T-0007,T-0007,V-0217,29003086.85,2026-05-04T10:29:00,valid,,0
ocds-pgraph-T-0007,T-0007,V-0168,29224821.1,2026-05-04T09:03:00,valid,,0
ocds-pgraph-T-0007,T-0007,V-0173,22610019.32,2026-05-04T10:32:00,valid,,0
ocds-pgraph-T-0007,T-0007,V-0064,26593583.7,2026-05-04T08:27:00,valid,,0
ocds-pgraph-T-0008,T-0008,V-0046,24123098.12,2023-01-12T17:18:00,valid,,1
ocds-pgraph-T-0008,T-0008,V-0168,25608885.65,2023-01-12T14:16:00,valid,,0
ocds-pgraph-T-0008,T-0008,V-0217,25873024.95,2023-01-12T19:00:00,valid,,0
ocds-pgraph-T-0009,T-0009,V-0046,23992240.06,2022-11-05T13:05:00,valid,,1
ocds-pgraph-T-0009,T-0009,V-0186,31231769.98,2022-11-05T09:19:00,valid,,0
ocds-pgraph-T-0009,T-0009,V-0064,25269162.32,2022-11-05T10:35:00,valid,,0
ocds-pgraph-T-0009,T-0009,V-0159,24762750.8,2022-11-05T12:11:00,valid,,0
ocds-pgraph-T-0009,T-0009,V-0173,24564926.91,2022-11-05T16:43:00,valid,,0
ocds-pgraph-T-0010,T-0010,V-0086,1334070.82,2025-12-14T12:35:00,valid,,0
ocds-pgraph-T-0010,T-0010,V-0157,1172471.51,2025-12-14T15:16:00,valid,,1
ocds-pgraph-T-0010,T-0010,V-0048,1206353.15,2025-12-14T15:32:00,valid,,0
ocds-pgraph-T-0010,T-0010,V-0163,1209679.9,2025-12-14T12:49:00,valid,,0
ocds-pgraph-T-0010,T-0010,V-0240,1293812.09,2025-12-14T12:01:00,valid,,0
ocds-pgraph-T-0010,T-0010,V-0168,1252989.25,2025-12-14T13:52:00,valid,,0
ocds-pgraph-T-0010,T-0010,V-0126,1506119.94,2025-12-14T12:03:00,valid,,0
ocds-pgraph-T-0011,T-0011,V-0048,7336232.15,2023-11-23T12:30:00,valid,,1
ocds-pgraph-T-0012,T-0012,V-0163,11144594.39,2024-04-25T14:48:00,valid,,0
ocds-pgraph-T-0012,T-0012,V-0168,12004196.18,2024-04-25T18:32:00,valid,,0
ocds-pgraph-T-0012,T-0012,V-0086,10889534.57,2024-04-25T13:53:00,valid,,1
ocds-pgraph-T-0013,T-0013,V-0048,9479500.14,2024-04-08T09:32:00,valid,,0
ocds-pgraph-T-0013,T-0013,V-0086,9005501.15,2024-04-08T15:50:00,valid,,1
ocds-pgraph-T-0013,T-0013,V-0240,9691622.76,2024-04-08T10:45:00,valid,,0
ocds-pgraph-T-0013,T-0013,V-0168,9353221.59,2024-04-08T17:44:00,valid,,0
ocds-pgraph-T-0013,T-0013,V-0163,10353909.88,2024-04-08T18:37:00,valid,,0
ocds-pgraph-T-0014,T-0014,V-0046,28616927.97,2023-03-19T10:14:00,valid,,1
ocds-pgraph-T-0014,T-0014,V-0217,31495064.34,2023-03-19T09:58:00,valid,,0
ocds-pgraph-T-0014,T-0014,V-0064,30281238.44,2023-03-19T17:35:00,valid,,0
ocds-pgraph-T-0015,T-0015,V-0046,20196170.61,2022-11-07T13:57:00,valid,,1
ocds-pgraph-T-0015,T-0015,V-0186,25648518.53,2022-11-07T12:40:00,valid,,0
ocds-pgraph-T-0015,T-0015,V-0173,22128115.27,2022-11-07T08:26:00,valid,,0
ocds-pgraph-T-0016,T-0016,V-0105,3666534.71,2024-11-26T08:30:00,valid,,0
ocds-pgraph-T-0016,T-0016,V-S006,3701951.39,2024-11-26T18:15:00,valid,,0
ocds-pgraph-T-0016,T-0016,V-0026,3358137.06,2024-11-26T13:52:00,valid,,1
ocds-pgraph-T-0017,T-0017,V-S010,7101310.12,2025-01-03T12:47:00,valid,,0
ocds-pgraph-T-0017,T-0017,V-0237,6698664.15,2025-01-03T16:44:00,valid,,0
ocds-pgraph-T-0017,T-0017,V-0206,5955362.88,2025-01-03T09:10:00,valid,,1
ocds-pgraph-T-0018,T-0018,V-S010,8769365.9,2024-11-21T15:11:00,valid,,0
ocds-pgraph-T-0018,T-0018,V-0237,8268308.06,2024-11-21T17:30:00,valid,,1
ocds-pgraph-T-0018,T-0018,V-0206,9490191.4,2024-11-21T14:48:00,valid,,0
ocds-pgraph-T-0018,T-0018,V-0057,9768040.8,2024-11-21T18:19:00,valid,,0
ocds-pgraph-T-0018,T-0018,V-0190,9353236.51,2024-11-21T10:01:00,valid,,0
ocds-pgraph-T-0018,T-0018,V-0155,8777733.86,2024-11-21T09:02:00,valid,,0
ocds-pgraph-T-0019,T-0019,V-0206,6698718.37,2026-03-27T11:34:00,valid,,0
ocds-pgraph-T-0019,T-0019,V-0237,6673714.87,2026-03-27T08:49:00,valid,,0
ocds-pgraph-T-0019,T-0019,V-S010,5150804.12,2026-03-27T11:49:00,valid,,1
ocds-pgraph-T-0020,T-0020,V-0206,1774618.17,2022-10-29T09:52:00,valid,,1
ocds-pgraph-T-0020,T-0020,V-0237,2267701.14,2022-10-29T15:19:00,valid,,0
ocds-pgraph-T-0020,T-0020,V-S010,1960537.69,2022-10-29T10:10:00,valid,,0
ocds-pgraph-T-0021,T-0021,V-0026,7203402.55,2023-11-30T14:47:00,valid,,0
ocds-pgraph-T-0021,T-0021,V-0223,6498408.31,2023-11-30T18:01:00,valid,,1
ocds-pgraph-T-0022,T-0022,V-0206,5438026.71,2026-06-22T16:32:00,valid,,1
ocds-pgraph-T-0023,T-0023,V-0014,9579125.19,2024-11-27T13:12:00,valid,,0
ocds-pgraph-T-0023,T-0023,V-0077,10442333.53,2024-11-27T08:55:00,valid,,0
ocds-pgraph-T-0023,T-0023,V-0223,9120197.79,2024-11-27T09:20:00,valid,,1
ocds-pgraph-T-0023,T-0023,V-0172,9941415.34,2024-11-27T08:33:00,valid,,0
ocds-pgraph-T-0023,T-0023,V-0029,10004892.42,2024-11-27T15:31:00,valid,,0
ocds-pgraph-T-0024,T-0024,V-0237,3914249.22,2025-05-23T16:57:00,valid,,0
ocds-pgraph-T-0024,T-0024,V-S010,3498899.82,2025-05-23T12:50:00,valid,,1
ocds-pgraph-T-0024,T-0024,V-0206,4378260.46,2025-05-23T18:59:00,valid,,0
ocds-pgraph-T-0025,T-0025,V-0237,13767685.42,2024-01-09T14:49:00,valid,,0
ocds-pgraph-T-0025,T-0025,V-0206,11823932.33,2024-01-09T10:58:00,valid,,1
ocds-pgraph-T-0025,T-0025,V-S010,12361209.18,2024-01-09T08:47:00,valid,,0
ocds-pgraph-T-0025,T-0025,V-0182,14071399.04,2024-01-09T18:58:00,valid,,0
ocds-pgraph-T-0025,T-0025,V-Y006,12152542.02,2024-01-09T09:18:00,valid,,0
ocds-pgraph-T-0025,T-0025,V-0132,12885772.25,2024-01-09T08:55:00,valid,,0
ocds-pgraph-T-0026,T-0026,V-0026,12866145.92,2025-11-17T17:55:00,valid,,1
ocds-pgraph-T-0026,T-0026,V-0172,14516750.12,2025-11-17T10:15:00,valid,,0
ocds-pgraph-T-0026,T-0026,V-0014,13620489.34,2025-11-17T11:13:00,valid,,0
ocds-pgraph-T-0026,T-0026,V-Y007,14832174.46,2025-11-17T09:32:00,valid,,0
ocds-pgraph-T-0026,T-0026,V-0077,13562354.06,2025-11-17T13:37:00,valid,,0
ocds-pgraph-T-0027,T-0027,V-0206,3939673.51,2025-04-15T12:45:00,valid,,1
ocds-pgraph-T-0027,T-0027,V-S010,3960465.24,2025-04-15T10:38:00,valid,,0
ocds-pgraph-T-0027,T-0027,V-0237,4293948.94,2025-04-15T14:38:00,valid,,0
ocds-pgraph-T-0027,T-0027,V-0048,4399291.93,2025-04-15T09:57:00,valid,,0
ocds-pgraph-T-0027,T-0027,V-0140,4281306.91,2025-04-15T13:57:00,valid,,0
ocds-pgraph-T-0027,T-0027,V-0176,4411345.87,2025-04-15T11:39:00,valid,,0
ocds-pgraph-T-0028,T-0028,V-0172,6926451.15,2025-03-29T09:41:00,valid,,1
ocds-pgraph-T-0029,T-0029,V-0029,6377082.4,2026-07-29T15:52:00,valid,,0
ocds-pgraph-T-0029,T-0029,V-0172,5914137.79,2026-07-29T18:16:00,valid,,0
ocds-pgraph-T-0029,T-0029,V-0014,5749390.94,2026-07-29T14:37:00,valid,,0
ocds-pgraph-T-0029,T-0029,V-0026,6090649.16,2026-07-29T08:50:00,valid,,0
ocds-pgraph-T-0029,T-0029,V-0223,5358296.53,2026-07-29T09:25:00,valid,,1
ocds-pgraph-T-0029,T-0029,V-0077,6115065.64,2026-07-29T18:01:00,valid,,0
ocds-pgraph-T-0030,T-0030,V-S010,10847484.95,2026-03-05T12:55:00,valid,,1
ocds-pgraph-T-0030,T-0030,V-0206,12424971.91,2026-03-05T10:40:00,valid,,0
ocds-pgraph-T-0030,T-0030,V-0237,12459648.32,2026-03-05T12:03:00,valid,,0
ocds-pgraph-T-0031,T-0031,V-0237,12537879.37,2024-12-25T10:49:00,valid,,1
ocds-pgraph-T-0032,T-0032,V-0056,2445466.94,2022-11-08T15:16:00,valid,,1
ocds-pgraph-T-0032,T-0032,V-0231,2541899.53,2022-11-08T09:02:00,valid,,0
ocds-pgraph-T-0032,T-0032,V-0069,2879955.3,2022-11-08T13:41:00,valid,,0
ocds-pgraph-T-0033,T-0033,V-0056,1694551.5,2025-10-02T16:17:00,valid,,1
ocds-pgraph-T-0033,T-0033,V-0231,1969877.92,2025-10-02T11:07:00,valid,,0
ocds-pgraph-T-0033,T-0033,V-0181,1857289.28,2025-10-02T12:49:00,valid,,0
ocds-pgraph-T-0035,T-0035,V-0032,6671664.62,2023-10-01T11:58:00,valid,,1
ocds-pgraph-T-0035,T-0035,V-0187,7690711.93,2023-10-01T18:30:00,valid,,0
ocds-pgraph-T-0035,T-0035,V-0081,8207579.12,2023-10-01T15:37:00,valid,,0
ocds-pgraph-T-0035,T-0035,V-0033,7057157.04,2023-10-01T15:52:00,valid,,0
ocds-pgraph-T-0035,T-0035,V-0071,6952200.18,2023-10-01T18:37:00,valid,,0
ocds-pgraph-T-0035,T-0035,V-0053,7252914.51,2023-10-01T17:45:00,valid,,0
ocds-pgraph-T-0036,T-0036,V-0056,2618990.42,2024-07-07T18:20:00,valid,,1
ocds-pgraph-T-0036,T-0036,V-0231,3301591.61,2024-07-07T18:24:00,valid,,0
ocds-pgraph-T-0036,T-0036,V-0152,3033515.51,2024-07-07T14:02:00,valid,,0
ocds-pgraph-T-0036,T-0036,V-0026,3443845.89,2024-07-07T17:44:00,valid,,0
ocds-pgraph-T-0036,T-0036,V-0161,2721025.88,2024-07-07T10:27:00,valid,,0
ocds-pgraph-T-0037,T-0037,V-0033,1943461.36,2023-12-11T16:39:00,valid,,0
ocds-pgraph-T-0037,T-0037,V-0187,1817978.85,2023-12-11T17:12:00,valid,,0
ocds-pgraph-T-0037,T-0037,V-0071,1523581.31,2023-12-11T11:44:00,valid,,1
ocds-pgraph-T-0037,T-0037,V-0032,1831606.86,2023-12-11T14:11:00,valid,,0
ocds-pgraph-T-0038,T-0038,V-0231,3317521.48,2023-11-28T17:29:00,valid,,1
ocds-pgraph-T-0038,T-0038,V-0056,3357767.26,2023-11-28T18:17:00,valid,,0
ocds-pgraph-T-0038,T-0038,V-S005,3590845.46,2023-11-28T15:47:00,valid,,0
ocds-pgraph-T-0038,T-0038,V-0069,3702445.36,2023-11-28T15:23:00,valid,,0
ocds-pgraph-T-0038,T-0038,V-0184,3320597.47,2023-11-28T16:48:00,valid,,0
ocds-pgraph-T-0039,T-0039,V-0081,9726142.36,2024-11-08T18:24:00,valid,,0
ocds-pgraph-T-0039,T-0039,V-0053,9881416.69,2024-11-08T17:13:00,valid,,0
ocds-pgraph-T-0039,T-0039,V-0033,9532777.22,2024-11-08T08:13:00,valid,,1
ocds-pgraph-T-0040,T-0040,V-0056,3142461.65,2024-07-12T08:39:00,valid,,1
ocds-pgraph-T-0040,T-0040,V-0231,3252694.76,2024-07-12T09:43:00,valid,,0
ocds-pgraph-T-0040,T-0040,V-0006,3219001.17,2024-07-12T15:24:00,valid,,0
ocds-pgraph-T-0040,T-0040,V-S005,3605631.72,2024-07-12T10:32:00,valid,,0
ocds-pgraph-T-0040,T-0040,V-0098,3780021.24,2024-07-12T16:22:00,valid,,0
ocds-pgraph-T-0041,T-0041,V-0071,6802392.73,2023-03-31T08:20:00,valid,,0
ocds-pgraph-T-0041,T-0041,V-0081,6594692.85,2023-03-31T12:01:00,valid,,1
ocds-pgraph-T-0042,T-0042,V-0056,2707176.87,2023-03-19T18:29:00,valid,,1
ocds-pgraph-T-0042,T-0042,V-0231,3065332.34,2023-03-19T16:26:00,valid,,0
ocds-pgraph-T-0042,T-0042,V-0098,2808998.21,2023-03-19T17:48:00,valid,,0
ocds-pgraph-T-0042,T-0042,V-Y003,2782017.73,2023-03-19T10:58:00,valid,,0
ocds-pgraph-T-0042,T-0042,V-0069,3316296.66,2023-03-19T08:15:00,valid,,0
ocds-pgraph-T-0043,T-0043,V-0056,3244252.23,2023-03-14T18:54:00,valid,,1
ocds-pgraph-T-0043,T-0043,V-0231,3563903.09,2023-03-14T13:00:00,valid,,0
ocds-pgraph-T-0043,T-0043,V-0161,3330694.59,2023-03-14T09:14:00,valid,,0
ocds-pgraph-T-0043,T-0043,V-S005,3407962.94,2023-03-14T13:46:00,valid,,0
ocds-pgraph-T-0043,T-0043,V-0006,4088771.85,2023-03-14T10:50:00,valid,,0
ocds-pgraph-T-0044,T-0044,V-0033,8138456.92,2026-04-27T10:13:00,valid,,1
ocds-pgraph-T-0044,T-0044,V-0187,8925513.35,2026-04-27T16:55:00,valid,,0
ocds-pgraph-T-0044,T-0044,V-0081,10039755.36,2026-04-27T14:05:00,valid,,0
ocds-pgraph-T-0044,T-0044,V-0071,10306137.38,2026-04-27T14:41:00,valid,,0
ocds-pgraph-T-0045,T-0045,V-0056,3054984.82,2024-09-09T11:04:00,valid,,1
ocds-pgraph-T-0045,T-0045,V-0231,3718101.04,2024-09-09T09:53:00,valid,,0
ocds-pgraph-T-0045,T-0045,V-0003,3514785.59,2024-09-09T15:05:00,valid,,0
ocds-pgraph-T-0046,T-0046,V-0056,2815534.03,2025-09-09T12:58:00,valid,,1
ocds-pgraph-T-0046,T-0046,V-0231,3160946.62,2025-09-09T12:00:00,valid,,0
ocds-pgraph-T-0046,T-0046,V-0180,2900772.91,2025-09-09T09:41:00,valid,,0
ocds-pgraph-T-0046,T-0046,V-0110,3247008.25,2025-09-09T12:40:00,valid,,0
ocds-pgraph-T-0047,T-0047,V-0056,1431123.44,2025-07-06T08:23:00,valid,,1
ocds-pgraph-T-0047,T-0047,V-0231,1520538.01,2025-07-06T15:15:00,valid,,0
ocds-pgraph-T-0047,T-0047,V-0119,1599416.04,2025-07-06T08:50:00,valid,,0
ocds-pgraph-T-0048,T-0048,V-0056,2082499.85,2023-03-02T12:09:00,valid,,1
ocds-pgraph-T-0048,T-0048,V-0231,2795760.94,2023-03-02T14:12:00,valid,,0
ocds-pgraph-T-0048,T-0048,V-S006,2375978.13,2023-03-02T08:11:00,valid,,0
ocds-pgraph-T-0048,T-0048,V-0026,2173242.51,2023-03-02T16:46:00,valid,,0
ocds-pgraph-T-0049,T-0049,V-0053,14104364.21,2025-10-12T08:10:00,valid,,0
ocds-pgraph-T-0049,T-0049,V-0081,14882997.07,2025-10-12T17:59:00,valid,,0
ocds-pgraph-T-0049,T-0049,V-0071,13150462.19,2025-10-12T18:00:00,valid,,1
ocds-pgraph-T-0049,T-0049,V-0032,15605158.94,2025-10-12T12:37:00,valid,,0
ocds-pgraph-T-0050,T-0050,V-0056,3270838.54,2023-03-15T15:26:00,valid,,1
ocds-pgraph-T-0050,T-0050,V-0231,3651552.93,2023-03-15T08:01:00,valid,,0
ocds-pgraph-T-0050,T-0050,V-0098,3793134.28,2023-03-15T18:34:00,valid,,0
ocds-pgraph-T-0050,T-0050,V-0069,4006027.77,2023-03-15T13:14:00,valid,,0
ocds-pgraph-T-0051,T-0051,V-0056,2976568.57,2025-05-28T08:46:00,valid,,1
ocds-pgraph-T-0051,T-0051,V-0231,3647929.26,2025-05-28T08:22:00,valid,,0
ocds-pgraph-T-0051,T-0051,V-0005,3297937.94,2025-05-28T18:10:00,valid,,0
ocds-pgraph-T-0052,T-0052,V-0033,16083640.81,2025-08-06T16:58:00,valid,,0
ocds-pgraph-T-0052,T-0052,V-0187,16629476.18,2025-08-06T17:11:00,valid,,0
ocds-pgraph-T-0052,T-0052,V-0081,14735127.3,2025-08-06T10:35:00,valid,,0
ocds-pgraph-T-0052,T-0052,V-0032,14252826.98,2025-08-06T08:30:00,valid,,1
ocds-pgraph-T-0053,T-0053,V-0032,10286341.92,2023-11-09T16:41:00,valid,,0
ocds-pgraph-T-0053,T-0053,V-0053,10324542.53,2023-11-09T12:22:00,valid,,0
ocds-pgraph-T-0053,T-0053,V-0033,7898651.81,2023-11-09T12:29:00,valid,,1
ocds-pgraph-T-0053,T-0053,V-0071,8177897.59,2023-11-09T08:39:00,valid,,0
ocds-pgraph-T-0054,T-0054,V-0056,1844397.46,2026-08-01T17:54:00,valid,,1
ocds-pgraph-T-0054,T-0054,V-0231,1952134.56,2026-08-01T12:09:00,valid,,0
ocds-pgraph-T-0054,T-0054,V-0120,2107730.06,2026-08-01T12:23:00,valid,,0
ocds-pgraph-T-0055,T-0055,V-0081,3920997.6,2023-05-17T11:34:00,valid,,0
ocds-pgraph-T-0055,T-0055,V-0053,4269546.87,2023-05-17T17:45:00,valid,,0
ocds-pgraph-T-0055,T-0055,V-0187,4282112.29,2023-05-17T13:47:00,valid,,0
ocds-pgraph-T-0055,T-0055,V-0033,4194902.22,2023-05-17T16:02:00,valid,,0
ocds-pgraph-T-0055,T-0055,V-0032,3681693.4,2023-05-17T16:34:00,valid,,0
ocds-pgraph-T-0055,T-0055,V-0071,3657171.48,2023-05-17T16:14:00,valid,,1
ocds-pgraph-T-0055,T-0055,V-0111,3846426.49,2023-05-17T18:07:00,valid,,0
ocds-pgraph-T-0056,T-0056,V-0056,1659927.9,2024-05-07T11:54:00,valid,,1
ocds-pgraph-T-0056,T-0056,V-0231,1891590.11,2024-05-07T17:38:00,valid,,0
ocds-pgraph-T-0056,T-0056,V-0227,2035697.15,2024-05-07T18:28:00,valid,,0
ocds-pgraph-T-0056,T-0056,V-0105,2069591.91,2024-05-07T17:46:00,valid,,0
ocds-pgraph-T-0056,T-0056,V-S006,1709585.07,2024-05-07T15:38:00,valid,,0
ocds-pgraph-T-0057,T-0057,V-0056,2955739.26,2024-09-12T12:35:00,valid,,1
ocds-pgraph-T-0057,T-0057,V-0231,3827381.47,2024-09-12T10:56:00,valid,,0
ocds-pgraph-T-0057,T-0057,V-Y003,3918149.93,2024-09-12T18:54:00,valid,,0
ocds-pgraph-T-0057,T-0057,V-0238,3794152.99,2024-09-12T12:54:00,valid,,0
ocds-pgraph-T-0057,T-0057,V-0181,3930110.88,2024-09-12T16:31:00,valid,,0
ocds-pgraph-T-0058,T-0058,V-0157,36479312.51,2026-07-08T18:08:00,valid,,1
ocds-pgraph-T-0058,T-0058,V-0180,45689883.11,2026-07-08T18:51:00,valid,,0
ocds-pgraph-T-0058,T-0058,V-0190,45278852.11,2026-07-08T18:01:00,valid,,0
ocds-pgraph-T-0058,T-0058,V-0094,38346167.2,2026-07-08T09:32:00,valid,,0
ocds-pgraph-T-0059,T-0059,V-SPV01,5951978.64,2025-05-10T09:07:00,valid,,0
ocds-pgraph-T-0059,T-0059,V-0072,6861781.82,2025-05-10T12:51:00,valid,,0
ocds-pgraph-T-0059,T-0059,V-0109,5828978.68,2025-05-10T10:45:00,valid,,0
ocds-pgraph-T-0059,T-0059,V-0146,5731249.11,2025-05-10T11:34:00,valid,,1
ocds-pgraph-T-0059,T-0059,V-0009,6456304.17,2025-05-10T16:11:00,valid,,0
ocds-pgraph-T-0059,T-0059,V-0085,6298971.69,2025-05-10T09:21:00,valid,,0
ocds-pgraph-T-0059,T-0059,V-0217,7113099.82,2025-05-10T11:26:00,valid,,0
ocds-pgraph-T-0061,T-0061,V-0205,26568346.17,2022-11-08T18:55:00,valid,,0
ocds-pgraph-T-0061,T-0061,V-0037,29697493.59,2022-11-08T15:10:00,valid,,0
ocds-pgraph-T-0061,T-0061,V-0190,26042349.54,2022-11-08T14:28:00,valid,,1
ocds-pgraph-T-0062,T-0062,V-0085,5363004.83,2026-06-26T09:44:00,valid,,0
ocds-pgraph-T-0062,T-0062,V-0086,6196364.18,2026-06-26T08:54:00,valid,,0
ocds-pgraph-T-0062,T-0062,V-SPV01,6036814.7,2026-06-26T13:12:00,valid,,0
ocds-pgraph-T-0062,T-0062,V-0146,5350522.6,2026-06-26T15:57:00,valid,,0
ocds-pgraph-T-0062,T-0062,V-0109,5143070.4,2026-06-26T13:22:00,valid,,0
ocds-pgraph-T-0062,T-0062,V-0240,6532689.62,2026-06-26T08:34:00,valid,,0
ocds-pgraph-T-0062,T-0062,V-0117,5113973.56,2026-06-26T14:11:00,valid,,1
ocds-pgraph-T-0063,T-0063,V-S005,11850644.24,2026-04-26T12:52:00,valid,,1
ocds-pgraph-T-0063,T-0063,V-0163,12493548.44,2026-04-26T12:56:00,valid,,0
ocds-pgraph-T-0063,T-0063,V-0240,15180404.12,2026-04-26T16:50:00,valid,,0
ocds-pgraph-T-0063,T-0063,V-0157,15183210.51,2026-04-26T09:31:00,valid,,0
ocds-pgraph-T-0063,T-0063,V-0168,15587350.19,2026-04-26T08:23:00,valid,,0
ocds-pgraph-T-0064,T-0064,V-0157,35150805.07,2025-11-05T08:05:00,valid,,0
ocds-pgraph-T-0064,T-0064,V-0094,29791650.45,2025-11-05T08:35:00,valid,,1
ocds-pgraph-T-0065,T-0065,V-0157,17429221.76,2023-12-13T09:58:00,valid,,1
ocds-pgraph-T-0065,T-0065,V-0094,19616921.63,2023-12-13T08:44:00,valid,,0
ocds-pgraph-T-0065,T-0065,V-0180,19114539.65,2023-12-13T09:27:00,valid,,0
ocds-pgraph-T-0066,T-0066,V-S005,9433146.07,2023-09-14T12:57:00,valid,,1
ocds-pgraph-T-0066,T-0066,V-0168,9801163.48,2023-09-14T18:13:00,valid,,0
ocds-pgraph-T-0066,T-0066,V-0157,10248810.55,2023-09-14T08:16:00,valid,,0
ocds-pgraph-T-0067,T-0067,V-0190,18385923.56,2022-12-23T18:18:00,valid,,0
ocds-pgraph-T-0067,T-0067,V-0180,17630600.93,2022-12-23T09:55:00,valid,,0
ocds-pgraph-T-0067,T-0067,V-0205,18547030.81,2022-12-23T17:48:00,valid,,0
ocds-pgraph-T-0067,T-0067,V-0037,16609153.43,2022-12-23T18:13:00,valid,,1
ocds-pgraph-T-0067,T-0067,V-0072,17215581.5,2022-12-23T08:18:00,valid,,0
ocds-pgraph-T-0068,T-0068,V-0009,4341167.16,2023-12-21T17:17:00,valid,,0
ocds-pgraph-T-0068,T-0068,V-0072,3722512.72,2023-12-21T12:40:00,valid,,0
ocds-pgraph-T-0068,T-0068,V-0117,3403469.32,2023-12-21T09:48:00,valid,,1
ocds-pgraph-T-0068,T-0068,V-0146,3728125.21,2023-12-21T11:30:00,valid,,0
ocds-pgraph-T-0068,T-0068,V-SPV01,3923665.79,2023-12-21T11:52:00,valid,,0
ocds-pgraph-T-0069,T-0069,V-S005,11781657.9,2026-02-11T18:12:00,valid,,1
ocds-pgraph-T-0069,T-0069,V-0086,13419210.82,2026-02-11T10:49:00,valid,,0
ocds-pgraph-T-0069,T-0069,V-0048,13931544.24,2026-02-11T14:10:00,valid,,0
ocds-pgraph-T-0070,T-0070,V-S005,9613305.51,2026-07-09T14:08:00,valid,,1
ocds-pgraph-T-0070,T-0070,V-0048,11103615.05,2026-07-09T08:44:00,valid,,0
ocds-pgraph-T-0070,T-0070,V-0168,11374986.98,2026-07-09T14:30:00,valid,,0
ocds-pgraph-T-0071,T-0071,V-SPV01,4671397.3,2024-02-24T18:51:00,valid,,1
ocds-pgraph-T-0072,T-0072,V-0037,6444516.87,2025-08-23T18:01:00,valid,,1
ocds-pgraph-T-0072,T-0072,V-0180,7415624.11,2025-08-23T15:59:00,valid,,0
ocds-pgraph-T-0072,T-0072,V-0072,6619904.46,2025-08-23T09:56:00,valid,,0
ocds-pgraph-T-0072,T-0072,V-0094,7147620.32,2025-08-23T11:17:00,valid,,0
ocds-pgraph-T-0072,T-0072,V-0157,6968744.38,2025-08-23T12:01:00,valid,,0
ocds-pgraph-T-0072,T-0072,V-0205,6771219.88,2025-08-23T12:23:00,valid,,0
ocds-pgraph-T-0072,T-0072,V-0190,7140829.06,2025-08-23T14:16:00,valid,,0
ocds-pgraph-T-0073,T-0073,V-S005,11423861.32,2024-08-04T14:35:00,valid,,1
ocds-pgraph-T-0073,T-0073,V-0086,13438858.24,2024-08-04T16:59:00,valid,,0
ocds-pgraph-T-0073,T-0073,V-0048,13172177.03,2024-08-04T17:26:00,valid,,0
ocds-pgraph-T-0074,T-0074,V-0072,3241913.03,2024-12-10T13:41:00,valid,,1
ocds-pgraph-T-0074,T-0074,V-SPV01,3498868.49,2024-12-10T08:06:00,valid,,0
ocds-pgraph-T-0074,T-0074,V-0146,4009349.36,2024-12-10T17:27:00,valid,,0
ocds-pgraph-T-0074,T-0074,V-0240,4243398.36,2024-12-10T11:17:00,valid,,0
ocds-pgraph-T-0075,T-0075,V-0051,40982468.25,2026-05-15T16:51:00,valid,,0
ocds-pgraph-T-0075,T-0075,V-0219,37785809.29,2026-05-15T15:21:00,valid,,0
